Date,Price,Open,High,Low,Changes%
29-Jan-16,1.0837,1.0936,1.0951,1.0809,-0.93%
28-Jan-16,1.0939,1.0889,1.0969,1.0867,0.42%
27-Jan-16,1.0893,1.0869,1.0917,1.0849,0.19%
26-Jan-16,1.0872,1.0847,1.0876,1.0817,0.21%
25-Jan-16,1.0849,1.0797,1.0858,1.0786,0.48%
22-Jan-16,1.0797,1.0871,1.0879,1.0787,-0.71%
21-Jan-16,1.0874,1.0891,1.0922,1.0777,-0.16%
20-Jan-16,1.0891,1.0908,1.0977,1.0875,-0.16%
19-Jan-16,1.0909,1.0889,1.0941,1.0858,0.15%
18-Jan-16,1.0893,1.0916,1.094,1.0867,-0.22%
15-Jan-16,1.0917,1.0863,1.0987,1.0852,0.48%
14-Jan-16,1.0865,1.0878,1.0945,1.0833,-0.11%
13-Jan-16,1.0877,1.0854,1.0891,1.0803,0.18%
12-Jan-16,1.0857,1.0856,1.0903,1.0818,-0.03%
11-Jan-16,1.086,1.0922,1.0969,1.0846,-0.66%
8-Jan-16,1.0932,1.0931,1.0936,1.0801,-0.04%
7-Jan-16,1.0936,1.0778,1.0941,1.0769,1.44%
6-Jan-16,1.0781,1.0746,1.0802,1.0718,0.31%
5-Jan-16,1.0748,1.0829,1.084,1.0709,-0.78%
4-Jan-16,1.0832,1.0856,1.0949,1.078,-0.26%
1-Jan-16,1.086,1.086,1.0869,1.0843,0.00%
31-Dec-15,1.086,1.0932,1.0938,1.085,-0.67%
30-Dec-15,1.0933,1.0917,1.0947,1.09,0.15%
29-Dec-15,1.0917,1.0967,1.0992,1.0898,-0.46%
28-Dec-15,1.0968,1.0962,1.0995,1.0948,-0.08%
25-Dec-15,1.0977,1.0969,1.0979,1.0941,0.04%
24-Dec-15,1.0973,1.0909,1.0976,1.0899,0.58%
23-Dec-15,1.091,1.0954,1.0958,1.0869,-0.41%
22-Dec-15,1.0955,1.0913,1.0984,1.0901,0.37%
21-Dec-15,1.0915,1.0861,1.094,1.0846,0.43%
18-Dec-15,1.0868,1.0825,1.0877,1.0803,0.40%
17-Dec-15,1.0825,1.0914,1.0916,1.0799,-0.81%
16-Dec-15,1.0913,1.0931,1.1007,1.0886,-0.14%
15-Dec-15,1.0928,1.0991,1.1059,1.0903,-0.58%
14-Dec-15,1.0992,1.0983,1.105,1.0944,0.02%
11-Dec-15,1.099,1.094,1.1033,1.0924,0.46%
10-Dec-15,1.094,1.1026,1.1029,1.0924,-0.77%
9-Dec-15,1.1025,1.0888,1.1041,1.0877,1.20%
8-Dec-15,1.0894,1.0835,1.0901,1.0827,0.54%
7-Dec-15,1.0836,1.0858,1.0888,1.0794,-0.46%
4-Dec-15,1.0886,1.0937,1.0958,1.0834,-0.50%
3-Dec-15,1.0941,1.0613,1.0983,1.0538,3.07%
2-Dec-15,1.0615,1.0629,1.0644,1.0549,-0.16%
1-Dec-15,1.0632,1.0566,1.0637,1.0561,0.64%
30-Nov-15,1.0564,1.0589,1.0596,1.0556,-0.27%
27-Nov-15,1.0593,1.0607,1.064,1.0567,-0.17%
26-Nov-15,1.0611,1.0626,1.0634,1.0598,-0.15%
25-Nov-15,1.0627,1.0641,1.069,1.0565,-0.13%
24-Nov-15,1.0641,1.0633,1.0674,1.0619,0.05%
23-Nov-15,1.0636,1.0645,1.0658,1.0591,-0.09%
20-Nov-15,1.0646,1.0733,1.0745,1.0638,-0.82%
19-Nov-15,1.0734,1.0655,1.0764,1.0652,0.70%
18-Nov-15,1.0659,1.0639,1.0694,1.0615,0.14%
17-Nov-15,1.0644,1.0687,1.0696,1.0629,-0.40%
16-Nov-15,1.0687,1.0749,1.078,1.0672,-0.85%
13-Nov-15,1.0779,1.0813,1.0818,1.0713,-0.35%
12-Nov-15,1.0817,1.0743,1.0829,1.0689,0.68%
11-Nov-15,1.0744,1.0723,1.0774,1.0704,0.20%
10-Nov-15,1.0723,1.0751,1.0763,1.0673,-0.27%
9-Nov-15,1.0752,1.0735,1.0793,1.0716,0.10%
6-Nov-15,1.0741,1.0883,1.0896,1.0706,-1.30%
5-Nov-15,1.0883,1.0863,1.0898,1.0832,0.19%
4-Nov-15,1.0862,1.0962,1.0967,1.0842,-0.96%
3-Nov-15,1.0967,1.1013,1.1032,1.0935,-0.44%
2-Nov-15,1.1015,1.1013,1.1053,1.0999,0.09%
30-Oct-15,1.1005,1.0975,1.1073,1.0964,0.26%
29-Oct-15,1.0977,1.0923,1.0984,1.0903,0.52%
28-Oct-15,1.092,1.105,1.1096,1.0894,-1.17%
27-Oct-15,1.1049,1.1055,1.1079,1.1029,-0.07%
26-Oct-15,1.1057,1.1007,1.1068,1.0987,0.35%
23-Oct-15,1.1018,1.1107,1.1142,1.0993,-0.79%
22-Oct-15,1.1106,1.1338,1.1352,1.1098,-2.05%
21-Oct-15,1.1339,1.1344,1.138,1.1332,-0.05%
20-Oct-15,1.1345,1.1324,1.1387,1.1322,0.16%
19-Oct-15,1.1327,1.1349,1.1382,1.1304,-0.17%
16-Oct-15,1.1346,1.1382,1.1398,1.1333,-0.33%
15-Oct-15,1.1383,1.1473,1.1496,1.1362,-0.79%
14-Oct-15,1.1474,1.1378,1.1489,1.1374,0.83%
13-Oct-15,1.1379,1.1355,1.1413,1.1343,0.20%
12-Oct-15,1.1356,1.1354,1.1397,1.1351,-0.02%
9-Oct-15,1.1358,1.1278,1.1391,1.1265,0.70%
8-Oct-15,1.1279,1.1234,1.1325,1.1231,0.38%
7-Oct-15,1.1236,1.1269,1.1283,1.121,-0.32%
6-Oct-15,1.1272,1.1189,1.1282,1.117,0.78%
5-Oct-15,1.1185,1.1219,1.1289,1.117,-0.23%
2-Oct-15,1.1211,1.1194,1.1319,1.1149,0.14%
1-Oct-15,1.1195,1.1175,1.1209,1.1133,0.16%
