Date,Price,Open,High,Low,Vol.,Change %
29-Jan-16,87.8,88.21,88.47,87.7,-,-0.46%
28-Jan-16,88.21,88,88.4,87.77,-,0.24%
27-Jan-16,88,87.64,88.1,87.56,-,0.41%
26-Jan-16,87.64,87.64,87.79,87.41,-,0.00%
25-Jan-16,87.64,87.23,87.67,87.17,-,0.47%
24-Jan-16,87.23,87.64,87.78,87.2,-,-0.02%
22-Jan-16,87.24,87.66,87.66,87.13,-,-0.47%
21-Jan-16,87.66,87.79,88.18,87.18,-,-0.15%
20-Jan-16,87.79,88.04,88.42,87.78,-,-0.29%
19-Jan-16,88.04,87.91,88.22,87.64,-,0.15%
18-Jan-16,87.91,88.02,88.08,87.72,-,-0.13%
17-Jan-16,88.02,88.07,88.09,87.95,-,0.02%
15-Jan-16,88.01,87.5,88.43,87.49,-,0.58%
14-Jan-16,87.5,87.66,88.12,87.38,-,-0.19%
13-Jan-16,87.67,87.35,87.69,87.1,-,0.35%
12-Jan-16,87.36,87.42,87.71,87.26,-,-0.07%
11-Jan-16,87.42,87.92,87.98,87.34,-,-0.57%
10-Jan-16,87.92,87.8,88.11,87.78,-,0.05%
8-Jan-16,87.88,87.79,87.9,87.13,-,0.11%
7-Jan-16,87.79,86.86,87.89,86.78,-,1.08%
6-Jan-16,86.85,86.64,86.99,86.39,-,0.24%
5-Jan-16,86.64,87.14,87.22,86.4,-,-0.57%
4-Jan-16,87.14,87.37,87.89,86.86,-,-0.26%
3-Jan-16,87.37,87.52,87.53,87.33,-,-0.04%
1-Jan-16,87.4,87.4,87.4,87.4,-,0.00%
31-Dec-15,87.4,87.9,87.91,87.39,-,-0.57%
30-Dec-15,87.9,87.79,87.96,87.68,-,0.13%
29-Dec-15,87.79,88.1,88.2,87.65,-,-0.36%
28-Dec-15,88.1,87.99,88.24,87.97,-,0.14%
27-Dec-15,87.98,87.91,88.03,87.85,-,0.00%
25-Dec-15,87.99,87.99,87.99,87.99,-,0.00%
24-Dec-15,87.99,87.71,88.04,87.7,-,0.32%
23-Dec-15,87.71,88.07,88.09,87.47,-,-0.41%
22-Dec-15,88.07,87.82,88.3,87.76,-,0.29%
21-Dec-15,87.82,87.52,88,87.41,-,0.35%
20-Dec-15,87.52,87.43,87.56,87.38,-,0.03%
18-Dec-15,87.49,87.42,87.54,87.05,-,0.09%
17-Dec-15,87.42,87.62,87.69,87.2,-,-0.23%
16-Dec-15,87.62,87.92,88.39,87.57,-,-0.34%
15-Dec-15,87.92,88.19,88.63,87.7,-,-0.31%
14-Dec-15,88.19,88.08,88.56,87.89,-,0.12%
13-Dec-15,88.08,88.12,88.17,88,-,-0.09%
11-Dec-15,88.16,87.94,88.42,87.85,-,0.25%
10-Dec-15,87.94,88.4,88.43,87.79,-,-0.51%
9-Dec-15,88.4,87.79,88.5,87.7,-,0.69%
8-Dec-15,87.79,87.34,87.86,87.32,-,0.51%
7-Dec-15,87.34,87.53,87.54,87.01,-,-0.22%
6-Dec-15,87.53,87.47,87.57,87.45,-,0.04%
4-Dec-15,87.5,87.71,87.97,87.21,-,-0.23%
3-Dec-15,87.71,85.72,88.11,85.15,-,2.32%
2-Dec-15,85.71,85.72,85.81,85.37,-,-0.01%
1-Dec-15,85.72,85.37,85.79,85.31,-,0.41%
30-Nov-15,85.37,85.49,85.57,85.3,-,-0.14%
29-Nov-15,85.49,85.53,85.57,85.48,-,-0.08%
27-Nov-15,85.56,85.56,85.77,85.36,-,0.01%
26-Nov-15,85.55,85.67,85.69,85.51,-,-0.13%
25-Nov-15,85.67,85.8,86.1,85.33,-,-0.15%
24-Nov-15,85.8,85.78,86.03,85.65,-,0.02%
23-Nov-15,85.78,85.73,85.84,85.47,-,0.06%
22-Nov-15,85.73,85.75,85.79,85.71,-,-0.06%
20-Nov-15,85.78,86.31,86.31,85.74,-,-0.61%
19-Nov-15,86.31,86.03,86.51,85.93,-,0.32%
18-Nov-15,86.03,85.83,86.13,85.7,-,0.23%
17-Nov-15,85.83,86.16,86.18,85.75,-,-0.38%
16-Nov-15,86.16,86.17,86.62,86.05,-,-0.01%
15-Nov-15,86.16,86.44,86.71,86.07,-,-0.63%
13-Nov-15,86.71,86.96,86.96,86.36,-,-0.28%
12-Nov-15,86.95,86.64,87.12,86.18,-,0.36%
11-Nov-15,86.64,86.53,86.74,86.3,-,0.13%
10-Nov-15,86.53,86.75,86.81,86.16,-,-0.24%
9-Nov-15,86.74,86.61,87.03,86.57,-,0.14%
8-Nov-15,86.62,86.63,86.7,86.56,-,-0.09%
6-Nov-15,86.69,87.44,87.51,86.44,-,-0.86%
5-Nov-15,87.44,87.17,87.5,87.01,-,0.31%
4-Nov-15,87.17,87.75,87.77,87.04,-,-0.65%
3-Nov-15,87.75,88.11,88.19,87.63,-,-0.41%
2-Nov-15,88.11,88.12,88.31,87.93,-,-0.01%
1-Nov-15,88.12,88.18,88.21,88.03,-,0.12%
30-Oct-15,88.01,88.04,88.52,87.86,-,-0.03%
29-Oct-15,88.04,87.59,88.09,87.43,-,0.51%
28-Oct-15,87.59,88.29,88.68,87.43,-,-0.79%
27-Oct-15,88.28,88.4,88.49,88.22,-,-0.13%
26-Oct-15,88.4,88.15,88.43,88.01,-,0.27%
