Date,Price,Open,High,Low,Change %
29-Jan-16,1.4247,1.436,1.4416,1.4147,-0.80%
28-Jan-16,1.4362,1.4231,1.4412,1.4229,0.91%
27-Jan-16,1.4233,1.4348,1.4359,1.4226,-0.83%
26-Jan-16,1.4352,1.4247,1.4368,1.4171,0.72%
25-Jan-16,1.4249,1.4268,1.4311,1.4221,-0.11%
22-Jan-16,1.4265,1.4219,1.4364,1.4202,0.33%
21-Jan-16,1.4218,1.4188,1.4249,1.4079,0.19%
20-Jan-16,1.4191,1.4153,1.422,1.4123,0.23%
19-Jan-16,1.4158,1.424,1.4341,1.4127,-0.60%
18-Jan-16,1.4244,1.4259,1.4325,1.4233,-0.10%
15-Jan-16,1.4258,1.4412,1.4431,1.4247,-1.08%
14-Jan-16,1.4414,1.4403,1.4446,1.4358,0.05%
13-Jan-16,1.4407,1.4443,1.4476,1.4378,-0.26%
12-Jan-16,1.4444,1.4538,1.4561,1.435,-0.69%
11-Jan-16,1.4544,1.452,1.4608,1.4491,0.17%
8-Jan-16,1.452,1.4614,1.4647,1.4504,-0.67%
7-Jan-16,1.4618,1.4628,1.4643,1.453,-0.06%
6-Jan-16,1.4627,1.4674,1.4683,1.46,-0.31%
5-Jan-16,1.4672,1.4711,1.4726,1.4636,-0.31%
4-Jan-16,1.4717,1.4746,1.4815,1.4661,-0.21%
1-Jan-16,1.4748,1.4734,1.4753,1.4734,0.06%
31-Dec-15,1.4739,1.4812,1.4845,1.4722,-0.52%
30-Dec-15,1.4816,1.4811,1.4852,1.479,0.03%
29-Dec-15,1.4812,1.4876,1.4915,1.4783,-0.44%
28-Dec-15,1.4877,1.4909,1.4935,1.487,-0.38%
25-Dec-15,1.4933,1.4914,1.4948,1.4878,0.11%
24-Dec-15,1.4917,1.4869,1.4947,1.4861,0.30%
23-Dec-15,1.4872,1.4827,1.4904,1.4815,0.32%
22-Dec-15,1.4825,1.488,1.4908,1.4802,-0.40%
21-Dec-15,1.4885,1.4896,1.4935,1.4875,-0.06%
18-Dec-15,1.4894,1.49,1.4951,1.4883,-0.05%
17-Dec-15,1.4901,1.4999,1.5004,1.4862,-0.69%
16-Dec-15,1.5004,1.5033,1.5102,1.4962,-0.21%
15-Dec-15,1.5035,1.5141,1.5186,1.5025,-0.71%
14-Dec-15,1.5142,1.5215,1.5232,1.5105,-0.49%
11-Dec-15,1.5217,1.5159,1.524,1.5123,0.38%
10-Dec-15,1.5159,1.5174,1.5202,1.511,-0.14%
9-Dec-15,1.5181,1.5007,1.5191,1.5001,1.15%
8-Dec-15,1.5008,1.5054,1.5062,1.4954,-0.30%
7-Dec-15,1.5053,1.5097,1.5116,1.504,-0.39%
4-Dec-15,1.5112,1.5143,1.5157,1.5076,-0.22%
3-Dec-15,1.5146,1.4949,1.516,1.4902,1.30%
2-Dec-15,1.4951,1.5079,1.5087,1.4893,-0.86%
1-Dec-15,1.5081,1.5054,1.5126,1.5048,0.17%
30-Nov-15,1.5056,1.5036,1.5071,1.4991,0.13%
27-Nov-15,1.5037,1.51,1.5109,1.5028,-0.43%
26-Nov-15,1.5102,1.5128,1.5133,1.5063,-0.17%
25-Nov-15,1.5128,1.5076,1.5137,1.5053,0.27%
24-Nov-15,1.5087,1.5122,1.5159,1.5051,-0.25%
23-Nov-15,1.5125,1.5186,1.5197,1.5104,-0.44%
20-Nov-15,1.5192,1.5289,1.5312,1.518,-0.64%
19-Nov-15,1.529,1.5235,1.5336,1.5222,0.35%
18-Nov-15,1.5237,1.5209,1.5249,1.5185,0.15%
17-Nov-15,1.5214,1.5199,1.524,1.5153,0.10%
16-Nov-15,1.5199,1.5235,1.5229,1.5179,-0.22%
13-Nov-15,1.5233,1.5231,1.5266,1.5185,0.01%
12-Nov-15,1.5231,1.5207,1.5246,1.5171,0.12%
11-Nov-15,1.5212,1.5116,1.5226,1.5112,0.63%
10-Nov-15,1.5117,1.5112,1.5146,1.5089,0.01%
9-Nov-15,1.5115,1.5047,1.5128,1.5038,0.43%
6-Nov-15,1.505,1.5204,1.5221,1.5023,-1.03%
5-Nov-15,1.5206,1.5384,1.5402,1.5201,-1.15%
4-Nov-15,1.5383,1.5418,1.5444,1.5356,-0.25%
3-Nov-15,1.5421,1.5414,1.5448,1.5357,0.03%
2-Nov-15,1.5416,1.5449,1.5498,1.5401,-0.08%
30-Oct-15,1.5429,1.5309,1.5468,1.5302,0.77%
29-Oct-15,1.5311,1.526,1.5326,1.524,0.33%
28-Oct-15,1.5261,1.5297,1.5347,1.5245,-0.23%
27-Oct-15,1.5296,1.5352,1.536,1.528,-0.35%
26-Oct-15,1.535,1.5307,1.5382,1.5301,0.24%
23-Oct-15,1.5314,1.5392,1.542,1.5302,-0.52%
22-Oct-15,1.5394,1.5416,1.5509,1.5367,-0.16%
21-Oct-15,1.5419,1.544,1.548,1.5408,-0.14%
20-Oct-15,1.5441,1.5463,1.5505,1.5431,-0.16%
19-Oct-15,1.5466,1.5431,1.55,1.5425,0.20%
16-Oct-15,1.5435,1.5452,1.5487,1.5427,-0.14%
15-Oct-15,1.5457,1.5473,1.5513,1.5413,-0.13%
14-Oct-15,1.5477,1.5245,1.5498,1.5244,1.50%
13-Oct-15,1.5249,1.5347,1.5391,1.5198,-0.63%
12-Oct-15,1.5345,1.5318,1.5374,1.5309,0.27%
9-Oct-15,1.5304,1.5346,1.5384,1.5297,-0.29%
8-Oct-15,1.5349,1.5314,1.5377,1.5258,0.20%
7-Oct-15,1.5318,1.5224,1.5344,1.5218,0.60%
6-Oct-15,1.5227,1.5143,1.5248,1.5137,0.55%
5-Oct-15,1.5144,1.5177,1.5244,1.5134,-0.25%
2-Oct-15,1.5182,1.5126,1.5238,1.5123,0.35%
1-Oct-15,1.5129,1.5127,1.518,1.5106,0.00%
30-Sep-15,1.5129,1.5147,1.5214,1.5105,-0.15%
29-Sep-15,1.5151,1.5171,1.5208,1.5126,-0.15%
28-Sep-15,1.5174,1.5181,1.5243,1.5155,-0.05%
25-Sep-15,1.5182,1.524,1.5261,1.5133,-0.39%
24-Sep-15,1.5241,1.524,1.5289,1.5198,-0.03%
23-Sep-15,1.5246,1.5359,1.537,1.5218,-0.77%
22-Sep-15,1.5365,1.5502,1.5531,1.5338,-0.92%
21-Sep-15,1.5508,1.5533,1.5569,1.5478,-0.15%
18-Sep-15,1.5532,1.5588,1.5659,1.5512,-0.38%
17-Sep-15,1.5591,1.5488,1.5632,1.5484,0.63%
16-Sep-15,1.5493,1.534,1.5529,1.5327,0.98%
15-Sep-15,1.5342,1.5424,1.5457,1.5325,-0.54%
14-Sep-15,1.5426,1.542,1.5473,1.5371,-0.03%
11-Sep-15,1.543,1.544,1.5465,1.5398,-0.10%
10-Sep-15,1.5446,1.5364,1.5477,1.5336,0.51%
9-Sep-15,1.5368,1.5395,1.5409,1.5347,-0.18%
8-Sep-15,1.5396,1.5274,1.5413,1.5266,0.83%
7-Sep-15,1.527,1.5178,1.5289,1.5168,0.65%
4-Sep-15,1.5171,1.5255,1.5275,1.516,-0.56%
3-Sep-15,1.5257,1.5296,1.5315,1.5217,-0.29%
2-Sep-15,1.5301,1.53,1.5327,1.5263,-0.01%
1-Sep-15,1.5303,1.5342,1.5408,1.5297,-0.26%
31-Aug-15,1.5343,1.5393,1.5437,1.5335,-0.32%
28-Aug-15,1.5393,1.5399,1.5445,1.5333,-0.05%
27-Aug-15,1.54,1.5459,1.5509,1.5368,-0.38%
26-Aug-15,1.5459,1.5686,1.572,1.5449,-1.46%
25-Aug-15,1.5688,1.5776,1.582,1.5677,-0.56%
24-Aug-15,1.5776,1.5699,1.5803,1.5628,0.50%
21-Aug-15,1.5697,1.5685,1.5725,1.5655,0.06%
20-Aug-15,1.5688,1.5677,1.5702,1.5604,0.06%
19-Aug-15,1.5679,1.5656,1.57,1.5633,0.11%
18-Aug-15,1.5661,1.5586,1.5722,1.556,0.47%
17-Aug-15,1.5587,1.564,1.5692,1.5577,-0.38%
14-Aug-15,1.5646,1.5606,1.566,1.5586,0.22%
13-Aug-15,1.5611,1.5607,1.5639,1.5572,-0.03%
12-Aug-15,1.5615,1.5568,1.5661,1.5532,0.27%
11-Aug-15,1.5573,1.5586,1.5613,1.5552,-0.09%
10-Aug-15,1.5587,1.549,1.5605,1.5455,0.59%
7-Aug-15,1.5496,1.5508,1.5545,1.5422,-0.10%
6-Aug-15,1.5512,1.56,1.5638,1.5466,-0.58%
5-Aug-15,1.5602,1.5561,1.5653,1.5524,0.25%
4-Aug-15,1.5563,1.5586,1.5636,1.5554,-0.16%
3-Aug-15,1.5588,1.5623,1.5648,1.5562,-0.23%
31-Jul-15,1.5624,1.56,1.5679,1.5547,0.15%
30-Jul-15,1.5601,1.5595,1.5639,1.556,-0.02%
29-Jul-15,1.5604,1.5611,1.5692,1.5586,-0.04%
28-Jul-15,1.5611,1.5556,1.5629,1.5526,0.34%
27-Jul-15,1.5558,1.5508,1.5596,1.5489,0.28%
24-Jul-15,1.5514,1.5512,1.5527,1.5465,0.00%
23-Jul-15,1.5514,1.5614,1.5673,1.5498,-0.64%
22-Jul-15,1.5614,1.5557,1.5646,1.5544,0.36%
21-Jul-15,1.5558,1.556,1.5592,1.5527,-0.05%
20-Jul-15,1.5566,1.5607,1.563,1.5536,-0.28%
17-Jul-15,1.5609,1.5609,1.5672,1.5554,-0.01%
16-Jul-15,1.561,1.5637,1.5654,1.5557,-0.17%
15-Jul-15,1.5637,1.5632,1.5676,1.5575,0.01%
14-Jul-15,1.5636,1.5485,1.5644,1.5449,0.95%
13-Jul-15,1.5489,1.5503,1.5591,1.5477,-0.24%
10-Jul-15,1.5526,1.5379,1.5552,1.5361,0.95%
9-Jul-15,1.538,1.5358,1.5423,1.5341,0.12%
8-Jul-15,1.5361,1.5461,1.5468,1.5328,-0.65%
7-Jul-15,1.5462,1.56,1.561,1.5412,-0.93%
6-Jul-15,1.5607,1.5533,1.5634,1.553,0.23%
3-Jul-15,1.5571,1.5607,1.5646,1.5555,-0.24%
2-Jul-15,1.5609,1.5613,1.5641,1.556,-0.06%
1-Jul-15,1.5618,1.5708,1.5737,1.5589,-0.59%
30-Jun-15,1.571,1.5737,1.5778,1.569,-0.18%
29-Jun-15,1.5738,1.5692,1.5789,1.5664,-0.09%
26-Jun-15,1.5752,1.5744,1.5768,1.5706,0.03%
25-Jun-15,1.5747,1.5702,1.5773,1.5674,0.26%
24-Jun-15,1.5706,1.5727,1.5806,1.5666,-0.16%
23-Jun-15,1.5731,1.5819,1.5833,1.5704,-0.59%
22-Jun-15,1.5825,1.5867,1.5912,1.5803,-0.37%
19-Jun-15,1.5884,1.5879,1.5897,1.5833,0.02%
18-Jun-15,1.5881,1.5831,1.593,1.5803,0.30%
17-Jun-15,1.5833,1.5646,1.585,1.5623,1.18%
16-Jun-15,1.5649,1.5599,1.5657,1.5539,0.31%
15-Jun-15,1.5601,1.5561,1.5614,1.5485,0.27%
12-Jun-15,1.5559,1.5512,1.5602,1.5465,0.26%
11-Jun-15,1.5518,1.5526,1.5538,1.542,-0.08%
10-Jun-15,1.5531,1.5384,1.5554,1.5366,0.94%
9-Jun-15,1.5386,1.5348,1.5391,1.5256,0.23%
8-Jun-15,1.535,1.5259,1.5365,1.5219,0.51%
5-Jun-15,1.5272,1.536,1.5371,1.5188,-0.61%
4-Jun-15,1.5366,1.5339,1.5442,1.5302,0.16%
3-Jun-15,1.5341,1.5342,1.538,1.5249,-0.02%
2-Jun-15,1.5344,1.52,1.5368,1.5178,0.94%
1-Jun-15,1.5201,1.5291,1.5305,1.5168,-0.59%
29-May-15,1.5291,1.5314,1.5345,1.5234,-0.16%
28-May-15,1.5316,1.5354,1.5388,1.5259,-0.25%
27-May-15,1.5355,1.5383,1.5439,1.5299,-0.19%
26-May-15,1.5385,1.5465,1.5479,1.5352,-0.56%
25-May-15,1.5471,1.548,1.5512,1.5454,-0.12%
22-May-15,1.549,1.566,1.5691,1.5455,-1.10%
21-May-15,1.5662,1.5531,1.5701,1.552,0.80%
20-May-15,1.5537,1.5507,1.5591,1.547,0.17%
19-May-15,1.551,1.5647,1.5671,1.5445,-0.91%
18-May-15,1.5653,1.573,1.5751,1.5634,-0.45%
15-May-15,1.5723,1.5774,1.5809,1.5699,-0.34%
14-May-15,1.5776,1.5742,1.5817,1.5726,0.20%
13-May-15,1.5745,1.5664,1.577,1.5631,0.47%
12-May-15,1.5671,1.5584,1.5717,1.5554,0.54%
11-May-15,1.5587,1.5444,1.5614,1.5391,0.85%
8-May-15,1.5456,1.5244,1.5525,1.5242,1.38%
7-May-15,1.5246,1.5242,1.5276,1.5162,0.01%
6-May-15,1.5245,1.5177,1.5292,1.5148,0.41%
5-May-15,1.5183,1.5119,1.5219,1.5087,0.42%
4-May-15,1.512,1.5141,1.5176,1.5088,-0.14%
1-May-15,1.5141,1.5349,1.5398,1.5112,-1.37%
30-Apr-15,1.5351,1.5438,1.5492,1.5301,-0.58%
29-Apr-15,1.544,1.5338,1.55,1.5325,0.67%
28-Apr-15,1.5338,1.5237,1.5343,1.5174,0.66%
27-Apr-15,1.5238,1.5167,1.5266,1.5105,0.32%
24-Apr-15,1.5189,1.5053,1.5191,1.5025,0.87%
23-Apr-15,1.5058,1.5033,1.5071,1.4957,0.15%
22-Apr-15,1.5036,1.4921,1.5084,1.491,0.74%
21-Apr-15,1.4926,1.4903,1.4978,1.4853,0.13%
20-Apr-15,1.4906,1.4957,1.4986,1.4886,-0.37%
17-Apr-15,1.4962,1.4931,1.5055,1.4914,0.18%
16-Apr-15,1.4935,1.4838,1.4971,1.481,0.63%
15-Apr-15,1.4842,1.4776,1.4857,1.4699,0.42%
14-Apr-15,1.478,1.467,1.4805,1.4601,0.71%
13-Apr-15,1.4676,1.4632,1.4687,1.4563,0.31%
10-Apr-15,1.4631,1.4709,1.4727,1.4585,-0.56%
9-Apr-15,1.4714,1.4865,1.4888,1.468,-1.03%
8-Apr-15,1.4867,1.4803,1.4974,1.4801,0.40%
7-Apr-15,1.4808,1.4877,1.4922,1.4798,-0.49%
6-Apr-15,1.4881,1.4919,1.4983,1.4867,-0.27%
3-Apr-15,1.4921,1.4825,1.4945,1.4808,0.62%
2-Apr-15,1.4829,1.4821,1.487,1.4774,0.04%
1-Apr-15,1.4823,1.4815,1.4873,1.4737,0.03%
31-Mar-15,1.4818,1.4809,1.4873,1.4752,0.05%
