Date,Price,Open,High,Low,Vol.,Change %
29-Jan-16,56.11,55.23,56.21,54.91,716.10K,1.94%
28-Jan-16,55.04,55.33,55.63,54.72,476.71K,-0.13%
27-Jan-16,55.11,55.69,55.97,54.73,858.12K,-1.08%
26-Jan-16,55.71,54.87,56.1,54.69,742.25K,1.53%
25-Jan-16,54.87,55.84,56.23,54.8,840.03K,-2.40%
22-Jan-16,56.22,54.7,56.37,54.53,966.69K,3.90%
21-Jan-16,54.11,54.51,55.25,53.74,889.39K,-0.66%
20-Jan-16,54.47,55.16,55.37,53.11,1.07M,-2.30%
19-Jan-16,55.75,55.72,56.3,55.02,1.27M,0.14%
15-Jan-16,55.67,57.27,57.64,55.2,988.52K,-4.64%
14-Jan-16,58.38,57.71,58.69,56.12,650.73K,1.41%
13-Jan-16,57.57,59.21,59.49,57.47,576.81K,-2.22%
12-Jan-16,58.88,58.61,58.93,57.95,674.97K,1.39%
11-Jan-16,58.07,60.51,60.89,57.78,1.01M,-3.87%
8-Jan-16,60.41,60.74,61.37,60.27,1.00M,0.47%
7-Jan-16,60.13,59.79,61.42,59.24,918.30K,-0.91%
6-Jan-16,60.68,60,60.71,59.77,1.26M,0.35%
5-Jan-16,60.47,59.78,60.56,59.29,868.90K,1.14%
4-Jan-16,59.79,59.56,59.79,59.07,1.03M,-0.32%
31-Dec-15,59.98,59.98,60.76,59.51,499.34K,-0.15%
30-Dec-15,60.07,60.35,60.66,59.97,303.50K,-0.46%
29-Dec-15,60.35,60.29,60.64,59.64,264.29K,0.30%
28-Dec-15,60.17,59.53,60.26,59.11,478.69K,0.60%
24-Dec-15,59.81,59.39,59.99,58.56,134.43K,0.35%
23-Dec-15,59.6,59.67,59.97,59.37,316.43K,0.34%
22-Dec-15,59.4,59.62,59.74,59.08,329.56K,-0.03%
21-Dec-15,59.42,58.47,59.43,58.32,588.76K,2.34%
18-Dec-15,58.06,58.55,58.66,57.87,862.13K,-1.09%
17-Dec-15,58.7,58.89,59.29,58.65,621.80K,-1.34%
16-Dec-15,59.5,58.81,59.62,58.34,703.89K,1.54%
15-Dec-15,58.6,57.96,58.71,57.5,665.92K,1.93%
14-Dec-15,57.49,57.8,58.15,57.26,383.90K,-0.19%
11-Dec-15,57.6,57.75,58.19,57.28,517.30K,-0.78%
10-Dec-15,58.05,58.47,58.95,57.07,460.64K,-0.99%
9-Dec-15,58.63,58.44,59.17,58.35,777.60K,-0.17%
8-Dec-15,58.73,58.71,59.27,58.43,837.34K,0.41%
7-Dec-15,58.49,57.92,58.53,57.46,686.27K,1.26%
4-Dec-15,57.76,57.46,57.99,57.24,463.26K,0.19%
3-Dec-15,57.65,58.49,58.55,57.32,484.65K,-1.32%
2-Dec-15,58.42,58.86,59.21,58.38,425.33K,-0.60%
1-Dec-15,58.77,58.71,59.13,58.21,455.55K,0.62%
30-Nov-15,58.41,58.76,58.81,58.21,495.69K,-0.09%
27-Nov-15,58.46,58.38,58.64,57.8,199.16K,-0.10%
25-Nov-15,58.52,58.4,58.86,58.18,281.62K,0.09%
24-Nov-15,58.47,58.23,58.77,58.14,280.07K,-0.37%
23-Nov-15,58.69,58.78,59.09,58.5,440.16K,0.09%
20-Nov-15,58.64,58.57,58.94,57.99,500.28K,0.50%
19-Nov-15,58.35,58.75,58.8,55.53,432.95K,-0.31%
18-Nov-15,58.53,58.15,58.6,57.54,330.05K,1.30%
17-Nov-15,57.78,58,58.39,57.55,731.07K,0.05%
16-Nov-15,57.75,57.38,57.87,57.09,400.05K,0.40%
13-Nov-15,57.52,57.8,58.31,57.35,345.75K,-0.81%
12-Nov-15,57.99,58.25,58.62,57.45,654.44K,-0.63%
11-Nov-15,58.36,58.48,58.72,58.1,441.93K,0.31%
10-Nov-15,58.18,57.04,58.24,57.04,1.13M,1.46%
9-Nov-15,57.34,57.87,58.07,56.91,537.46K,-1.33%
6-Nov-15,58.11,58.4,58.93,57.91,1.02M,-0.62%
5-Nov-15,58.47,57.16,58.75,57.11,1.06M,1.51%
4-Nov-15,57.6,57.1,57.65,56.99,739.99K,1.05%
3-Nov-15,57,56.94,57.36,56.71,597.88K,-0.04%
2-Nov-15,57.02,56.66,57.14,56.63,700.32K,1.05%
30-Oct-15,56.43,56.72,56.83,56.23,314.11K,-0.21%
29-Oct-15,56.55,56.48,56.73,56.38,376.69K,0.02%
28-Oct-15,56.54,56.67,56.67,55.1,886.12K,0.19%
27-Oct-15,56.43,56.61,56.94,55.89,391.77K,-0.44%
26-Oct-15,56.68,57.08,57.08,56.54,567.72K,-0.40%
23-Oct-15,56.91,56.93,57.27,56.35,812.24K,0.33%
22-Oct-15,56.72,56.5,56.99,56.05,760.70K,0.84%
21-Oct-15,56.25,56.8,56.8,55.91,559.51K,-0.32%
20-Oct-15,56.43,56.05,56.46,55.85,449.38K,0.79%
