Date,Price,Open,High,Low,Vol.,Change %
29-Jan-16,4263,4135,4271.25,4129,328.86K,2.63%
28-Jan-16,4153.75,4150.25,4199,4106.75,414.08K,0.65%
27-Jan-16,4127,4195.25,4218.75,4102,408.52K,-2.36%
26-Jan-16,4226.75,4190,4243.75,4133,327.22K,0.96%
25-Jan-16,4186.75,4247.5,4260,4179.25,287.60K,-1.43%
22-Jan-16,4247.5,4126.25,4253,4119,328.59K,2.84%
21-Jan-16,4130.25,4130.75,4192.25,4085.75,554.10K,-0.07%
20-Jan-16,4133,4141,4171.5,3983.5,628.24K,-0.28%
19-Jan-16,4144.5,4126.75,4215.75,4091.25,475.76K,0.15%
18-Jan-16,4138.12,4129.5,4177.25,4119.5,-,0.21%
17-Jan-16,4129.62,4127.88,4138.38,4107.5,-,-0.27%
15-Jan-16,4140.75,4255,4268.75,4075.75,567.53K,-2.74%
14-Jan-16,4257.5,4181.5,4300.5,4124,526.51K,1.96%
13-Jan-16,4175.75,4308.75,4365,4167.25,521.07K,-3.18%
12-Jan-16,4312.75,4272.25,4345.75,4236.5,417.58K,0.93%
11-Jan-16,4273,4264.25,4304.5,4208.75,435.58K,0.27%
8-Jan-16,4261.5,4298,4370,4255.75,480.51K,-0.65%
7-Jan-16,4289.25,4450.25,4458.5,4283,501.32K,-3.54%
6-Jan-16,4446.75,4482,4487.5,4386,346.78K,-0.83%
5-Jan-16,4483.75,4505.5,4523,4457.25,301.18K,-0.46%
4-Jan-16,4504.5,4592.5,4606.75,4429.75,368.67K,-1.81%
31-Dec-15,4587.75,4648,4655,4579.5,160.71K,-1.25%
30-Dec-15,4646,4687.25,4695,4643.5,117.43K,-0.95%
29-Dec-15,4690.5,4617.75,4697.75,4610.5,158.10K,1.66%
28-Dec-15,4613.75,4611,4619.5,4571.5,113.57K,0.06%
24-Dec-15,4611,4607.75,4630,4600.75,62.05K,0.09%
23-Dec-15,4606.75,4590.5,4620.25,4583,147.74K,0.34%
22-Dec-15,4591,4569,4594.5,4541.25,166.65K,0.61%
21-Dec-15,4563,4513.75,4571.75,4511.75,176.61K,-0.29%
18-Dec-15,4576.08,4577,4597,4552.5,2.27K,-0.04%
17-Dec-15,4577.75,4656.75,4689.5,4574,49.75K,-1.83%
16-Dec-15,4663,4607.5,4674.5,4580,71.66K,1.24%
15-Dec-15,4606,4571.5,4639,4566.75,151.20K,0.86%
14-Dec-15,4566.5,4534.5,4579.5,4477.25,156.22K,0.60%
11-Dec-15,4539.25,4646.25,4659,4527.5,226.52K,-2.26%
10-Dec-15,4644,4624,4674.5,4618.25,302.77K,0.61%
9-Dec-15,4616,4690.5,4707.5,4593.25,388.71K,-1.52%
8-Dec-15,4687.25,4699.75,4709,4641.25,299.29K,-0.29%
7-Dec-15,4701,4721.25,4730,4670.5,224.66K,-0.26%
4-Dec-15,4713.25,4616,4723.25,4603,305.07K,2.22%
3-Dec-15,4611,4698.75,4730.25,4579,379.53K,-1.78%
2-Dec-15,4694.5,4715,4739.5,4678.5,231.81K,-0.46%
1-Dec-15,4716.25,4678.75,4716.75,4676.5,228.43K,1.02%
30-Nov-15,4668.75,4685.5,4700.5,4653.5,179.77K,-0.29%
27-Nov-15,4682.5,4679.75,4703.25,4664.75,105.38K,-0.31%
