Date,vfinx,veurx,veiex,vbltx,vbisx,vpacx,UI_pct_chg,CRU_oil_chg,EUI_pct_chg,EURUSD_chg,GBPUSD_chg,ADVER_chg,Nasdaq_chg,USD/JYP_chg
1/3/14,-0.000355267,0.000323842,-0.006685013,0,0,0.000871829,0.002,-0.0155,-0.0055,-0.0061,-0.0022,-0.0002,-0.78,0.0009
1/6/14,-0.002487937,0.001618687,-0.008313581,0.00320257,0,-0.001742139,-0.0017,-0.0056,0.0014,0.0029,-0.0007,-0.0029,-0.0039,-0.0061
1/7/14,0.00605703,0.005817715,0.001197629,0.001596173,0.000953284,0.001745179,0.0021,0.0026,0,-0.0009,-0.0001,0.0041,0.0088,0.0038
1/8/14,0.000118076,-0.000642689,-0.00239235,-0.0023904,-0.00190485,0.000871069,0.0022,-0.0143,-0.0021,-0.0029,0.0027,-0.0037,0.0045,0.0023
1/9/14,0.000354093,0,-0.00679456,0.003993575,0,-0.001740623,-0.0002,-0.0073,0.0015,0.0024,0.002,-0.0091,-0.0048,-0.0003
1/10/14,0.00230088,0.009003194,0.009255535,0.009546474,0.001908485,0.003487407,-0.0048,0.0116,0.0025,0.0046,0.0001,0.0049,0.0039,-0.0065
1/13/14,-0.012478632,-0.005736107,-0.001993604,0.003940163,0.000952376,-0.004344086,-0.0017,-0.0099,-0.0006,0.0001,-0.0061,-0.0121,-0.0146,-0.011
1/14/14,0.010788564,0.009615379,0.009188975,-0.004709587,-0.00095147,-0.00087259,0.0019,0.0086,0.001,0.0005,0.0036,-0.0008,0.0183,0.0118
1/15/14,0.005189324,0.004761885,0.000791768,-0.000788602,0,0.002620055,0.0047,0.0171,-0.0034,-0.0054,-0.0043,0.0024,0.0069,0.0033
1/16/14,-0.001349355,0.000315964,-0.003560114,0.005524831,0,-0.002613208,-0.0015,-0.0022,0.0011,0.0011,-0.001,-0.0039,-0.0008,-0.0019
1/17/14,-0.003818331,-0.005685411,-0.005160854,0.002354837,0,0,0.0042,0.0044,-0.0063,-0.0058,0.0043,-0.0071,-0.0029,-0.0005
1/21/14,0.002771559,0.006670929,-0.000798002,0,0,0.002620055,-0.0016,0.0112,0.0004,0.0007,0.0027,-0.001,0.006,0.0013
1/22/14,0.000646878,-0.000946694,0.00638975,-0.002349304,-0.000952376,0.001742139,0.001,0.0183,-0.0014,-0.001,0.006,0.019,0.003,0.0019
1/23/14,-0.008874061,0.000315864,-0.014682555,0.009419088,0.001906567,-0.017391273,-0.0096,0.0061,0.0067,0.0109,0.0037,-0.0184,-0.0019,-0.012
1/24/14,-0.020871562,-0.0296811,-0.020942418,0.003110427,0,-0.017699082,0.0001,-0.007,-0.0009,-0.0012,-0.0093,-0.0086,-0.0226,-0.0094
1/27/14,-0.00484469,-0.005857472,-0.013163297,-0.005426327,0,-0.007207212,0.0009,-0.0095,-0.001,-0.0004,0.0061,-0.0109,-0.0083,0.0024
1/28/14,0.006146138,0.009492656,0.006252555,0.001558936,0,0.006352104,0.0006,0.0177,0.0003,-0.0002,-0.0003,-0.0004,-0.0006,0.0041
1/29/14,-0.010100388,-0.012321683,-0.009527713,0.00544744,0.000951568,-0.000901797,-0.001,-0.0005,-0.0008,-0.0004,-0.001,-0.0075,-0.008,-0.0065
1/30/14,0.01130327,0.000984922,0.00752825,-0.002322029,0,0.003610159,0.0076,0.0089,-0.005,-0.0078,-0.0046,0.0029,0.0084,0.0041
1/31/14,-0.006464523,-0.010495254,-0.004566243,0.00840991,0.001807464,-0.0143885,0.0026,-0.0075,-0.005,-0.0051,-0.003,-0.0049,0.0034,-0.0067
2/3/14,-0.022864058,-0.016241269,-0.018348582,0.008494306,0.000949729,-0.019160539,-0.0036,-0.0109,0.0018,0.0028,-0.008,-0.0327,-0.0239,-0.0102
2/4/14,0.007716661,0.005390822,0.009345773,-0.006891289,0,-0.000930319,0.0014,0.0079,0.0002,-0.0004,0.0012,0.0183,0.0064,0.0065
2/5/14,-0.001729134,0.003016088,-0.004629663,-0.006939108,-0.000948828,0.001862272,-0.0011,0.002,0.0006,0.001,-0.001,0.0144,-0.0019,-0.0021
2/6/14,0.012929241,0.019044436,0.017758985,-0.002329227,0,0.01208183,-0.0016,0.0047,0.0046,0.0042,0.0008,0.0234,0.0121,0.0066
2/7/14,0.013313742,0.012786846,0.008309163,0.000778165,0,0.012855768,-0.003,0.0209,0.0023,0.0033,0.0055,0.009,0.0203,0.0023
2/10/14,0.001566992,-0.001618617,-0.007416582,0.003110409,0,-0.002719821,-0.0004,0.0018,0.0011,0.0008,-0.0007,0.0054,0.0055,-0.0009
2/11/14,0.011072397,0.013618697,0.014943997,-0.004651062,-0.000949632,0.01363629,-0.0004,-0.0012,-0.0007,-0.0005,0.003,0.0046,0.0099,0.0038
2/12/14,0.000238026,0.00287908,0.00204493,-0.003115339,0,0.0035874,0.0005,0.0043,-0.0043,-0.0032,0.0089,0.0055,0.0033,-0.0011
2/13/14,0.00589079,0.006379535,-0.000816329,0.005468774,0.000950534,-0.004468127,-0.0045,-0.0002,0.005,0.0063,0.0039,0.0076,0.0073,-0.0035
2/14/14,0.004909798,0.006339163,0.009803903,0.000777041,0,0,-0.0025,-0.0005,-0.0008,0.0009,0.0052,-0.0097,0.0027,-0.0036
2/18/14,0.001295038,0.005039358,-0.001618084,0.001552705,0.000949729,0.011669608,-0.0016,0.0183,0.0044,0.0036,-0.0019,0.0069,0.0028,0.0042
2/19/14,-0.006466817,-0.003760534,-0.004051874,-0.002325531,-0.000948828,-0.006211196,0.0017,0.0086,-0.0013,-0.0018,-0.0002,-0.0129,-0.0056,-0.0004
2/20/14,0.006213033,0.005347555,0.001220529,-0.001553996,0,-0.002678538,0.0016,-0.0038,-0.0005,-0.001,-0.0019,-0.0087,0.0047,-0.0006
2/21/14,-0.001764204,0.000625798,0.002437996,0.00311283,0,0.005371464,-0.0006,-0.007,0.0019,0.0015,-0.002,-0.0064,-0.0019,0.0025
2/24/14,0.006185588,0.00750474,0.002026737,-0.00077575,0,0.008904703,-0.0006,0.0061,-0.0009,-0.0004,0.0024,0.0122,0.0064,-0.0003
2/25/14,-0.001346578,-0.001551936,-0.007686039,0.006987596,0,-0.000882602,-0.0006,-0.0096,0,0.0007,0.0014,-0.0038,0.0001,-0.0026
2/26/14,0.000175873,-0.004040964,-0.00285372,0.003854994,0.000949729,-0.002650144,0.0036,0.0075,-0.0034,-0.0041,-0.0005,-0.0036,-0.004,0.0015
2/27/14,0.005099616,0.002809024,0.013900281,0.003840191,0,0.00177155,-0.0019,-0.0019,0.0009,0.0015,0.001,0.031,0.0076,-0.0024
2/28/14,0.002799302,0.006535907,0,0.004836134,0.000854638,0.00088407,-0.0073,0.0019,0.0042,0.0068,0.0034,0.0386,-0.0017,-0.0031
3/3/14,-0.007327681,-0.02597403,-0.01975805,0.004583627,0.000948798,-0.014134287,0.0046,0.0227,-0.0013,-0.0049,-0.0047,-0.0062,-0.0072,-0.0035
3/4/14,0.01523224,0.021269781,0.01522009,-0.010646303,-0.001895798,0.014336929,0.0011,-0.0152,0.0014,0.0006,-0.0002,0.0122,0.0131,0.0075
3/5/14,0.000173197,-0.000621579,0,0.000768579,0,-0.002650144,-0.0007,-0.0182,-0.0014,-0.0007,0.0035,-0.0122,0.0031,0.001
3/6/14,0.001903918,0.009020103,0.010129663,-0.006912405,0,0.012400387,-0.0056,0.0011,0.0096,0.0093,0.001,0.0036,-0.0017,0.0074
3/7/14,0.000575907,-0.008631266,-0.004412387,-0.00541385,-0.001899301,-0.003499611,0.0006,0.01,0.0016,0.0012,-0.0017,0.0028,-0.0048,0.002
3/10/14,-0.000402921,-0.004664226,-0.009669603,0.000777629,0,-0.007023618,0.0006,-0.0142,0.0003,-0.0001,-0.0039,-0.009,0.0009,-0.0001
3/11/14,-0.005066731,-0.004373572,-0.006102516,0.000777025,0,-0.005305159,-0.0005,-0.0108,-0.0013,-0.0012,-0.0017,-0.004,-0.0051,-0.0024
3/12/14,0.000578649,-0.003765321,-0.002865315,0.00465836,0.000951507,-0.008888873,-0.0015,-0.0204,0.0024,0.0031,0.0002,-0.0042,0.0049,-0.0024
3/13/14,-0.01156738,-0.018582692,-0.011494281,0.010046342,0.000950504,-0.010762293,0.0003,0.0021,-0.0035,-0.0024,0.0003,-0.0148,-0.015,-0.009
3/14/14,-0.002808633,-0.001283659,0.002491657,-0.000765051,0,-0.008159654,-0.0024,0.007,0.0024,0.0033,0.0013,0.0012,-0.0064,-0.0047
3/17/14,0.009564635,0.012853474,0.009113571,-0.006125597,-0.000949602,0.009140847,-0.0016,-0.0082,0.0011,0.0005,-0.0005,0.0158,0.0084,0.004
3/18/14,0.007265325,0.008248728,0.011494195,0.003081676,0.000950504,0.001811667,0.0029,0.0165,0.0005,0.0009,-0.0026,0.0045,0.0118,-0.0032
3/19/14,-0.006116543,-0.014159857,-0.009740242,-0.006144416,-0.0037987,-0.009041669,0.0074,0.0067,-0.0039,-0.0072,-0.0031,-0.006,-0.0053,0.0089
3/20/14,0.006038043,0.001595885,0,-0.001545559,0,-0.010948866,0.0027,-0.0094,-0.003,-0.0039,-0.0022,0.0042,0.0047,0.0006
3/21/14,-0.002932605,-0.001593342,-0.001639305,0.007739925,0,0.001844996,-0.0011,0.0003,0.001,0.0011,-0.0012,-0.0055,0.0097,-0.0013
3/24/14,-0.004882563,-0.001295765,0.011725937,0.005376343,0,0.005349486,-0.0022,0.0014,0.0025,0.0033,0.0007,-0.0074,-0.0331,-0.0002
3/25/14,0.00449769,0.012650007,0.010980087,-0.002291814,0,0.005504624,0.0001,-0.0041,-0.0009,-0.0009,0.0019,-0.0119,0.0035,0.0002
3/26/14,-0.006977942,-0.002242142,0.001608983,0.006891234,0.000953321,0.005474489,0.001,0.0108,-0.003,-0.0032,0.0034,-0.0012,-0.0141,-0.0022
3/27/14,-0.00175677,0.002889257,0.010040167,0.004562796,0,0.009981823,0.001,0.0102,-0.0032,-0.0031,0.0015,0.0064,-0.0052,0.0012
3/28/14,0.004692925,0.007362312,0.01232603,-0.004542072,-0.000952413,0.008984692,0.001,0.0039,0.0019,0.0009,0.0016,-0.005,0.0025,0.0063
3/31/14,0.007940687,0.005719755,0.009426596,0.002137135,0.002099677,0.005342868,-0.001,-0.0009,0.0011,0.0013,0.0015,-0.0126,0.0065,0.004
4/1/14,0.007125037,0.007898906,0.00739294,-0.006092948,0,0.003542982,0,-0.0181,0.0022,0.0017,-0.002,0.0029,0.0178,0.0041
4/2/14,0.002990937,-0.001253894,0.002703731,-0.003831364,-0.001904798,0.003530381,0.0015,-0.0012,-0.0013,-0.002,-0.0002,0.0055,0.0022,0.0023
4/3/14,-0.001089587,-0.002510969,-0.006163303,0.0038461,0,-0.001758935,0.0034,0.0067,-0.0021,-0.0034,-0.0016,0.0031,-0.0075,0.0004
4/4/14,-0.012515117,-0.001888043,-0.003875923,0.00536396,0.001908433,-0.003524252,-0.0009,0.0085,-0.0018,-0.0012,-0.0011,-0.0021,-0.0257,-0.0062
4/7/14,-0.010755135,-0.005044137,0.00739294,0.005335342,0.000952399,-0.005305075,-0.0026,-0.0069,0.0018,0.0028,0.0018,-0.0111,-0.0108,-0.0016
4/8/14,0.004055023,0.003168606,0.00772502,0.001516329,0,-0.000888895,-0.0066,0.0211,0.0005,0.004,0.0083,-0.0047,0.0084,-0.0126
4/9/14,0.01100374,0.013581806,0.010348806,-0.003027984,0.000951493,0.008896857,-0.0035,0.0101,0.0036,0.0043,0.0027,0.0018,0.0177,0.0017
4/10/14,-0.02084172,-0.015581167,-0.008346014,0.006833717,0.000950491,-0.019400389,-0.0013,-0.0019,0.002,0.0023,-0.0005,-0.0175,-0.0309,-0.0044
4/11/14,-0.009401126,-0.010129789,-0.003060431,0.00527901,0,-0.000899287,0.0009,0.0033,0.0003,-0.0002,-0.0031,-0.0028,-0.0103,0.0008
4/14/14,0.008177216,0.003837502,0.00345356,-0.002250483,-0.000949588,0.009901056,0.0036,0.003,-0.0009,-0.0046,-0.0002,0.007,0.0076,0.0023
4/15/14,0.006749155,-0.004141432,-0.011854672,0.004511199,0,-0.004456358,0.001,-0.0029,-0.0003,-0.0005,0.0001,-0.0048,0.0061,0.0009
4/16/14,0.010526272,0.009916834,0.002709003,0.000748558,-0.000950588,0.012533562,-0.0001,0.0001,0.0005,0.0001,0.0041,0.0524,0.0029,0.0029
4/17/14,0.001396681,0.004117853,0.00964875,-0.008227406,-0.000951493,0.000884179,0.0003,0.0052,0.0004,-0.0001,-0.0003,-0.009,0.0062,0.0016
4/21/14,0.003777278,0.000630869,0,-0.000754121,0,0.000883398,0.0016,0.0007,-0.0012,-0.0016,-0.0009,0.0013,0.0079,0.002
4/22/14,0.004110499,0.010403526,-0.002675825,0.002264152,0,0,-0.0004,-0.0215,0.0003,0.0009,0.0019,0,0.0095,0
4/23/14,-0.002075649,-0.003432103,-0.006132593,0.004518075,0,-0.002647855,-0.0007,-0.0068,0.0009,0.0009,-0.0024,-0.0171,-0.0085,-0.0008
4/24/14,0.001675487,0.002817728,0.000771314,0.001499197,0,-0.000884962,-0.0008,0.0049,0.0006,0.0012,0.0013,0.0039,0.0085,-0.0021
4/25/14,-0.008075178,-0.006556324,-0.012331478,0.000748558,0.000952399,-0.005314473,-0.0008,-0.0131,0.0001,0,0,-0.0136,-0.0151,-0.0015
4/28/14,0.003314485,0.004714023,0.003901713,-0.003739745,-0.000951493,0.001780956,-0.0008,0.0024,0.001,0.0012,0.0001,-0.0134,0.0029,0.0032
4/29/14,0.004752561,0.008445483,0.005441169,0,0.000952399,0.001777883,0.0015,0.0044,-0.0024,-0.0027,0.0012,-0.0024,0.0065,0.0014
4/30/14,0.002999563,0.006823752,-0.001546247,0.006478826,0.001809399,-0.00088741,-0.0044,-0.0152,0.0019,0.004,0.0027,0.0012,0.0027,-0.0037
5/1/14,-5.76E-05,0.000616163,0.00038715,0.00748508,0,0.004440527,0.0006,-0.0032,0.0001,0.0001,0.0012,-0.004,0.0038,0.0008
5/2/14,-0.001380284,-0.001847352,0.005804966,0.00520054,-0.000950554,0,-0.0003,0.0034,0,0.0001,-0.0016,0.0038,-0.0021,-0.0015
5/5/14,0.001958162,-0.000925304,-0.001154341,-0.004434475,0,-0.000884179,-0.0004,-0.0028,0.0009,0.0004,-0.0001,-0.0022,0.0032,-0.0005
5/6/14,-0.008967048,-0.001852354,0.00231131,0.003711937,0,-0.000884962,-0.005,0.0002,0.0013,0.0037,0.0067,-0.0024,-0.0111,-0.0044
5/7/14,0.006032092,0.004020953,0.006149131,-0.002218957,0.000951459,-0.004428728,0.0014,0.0128,-0.0006,-0.0011,-0.0014,-0.0113,-0.003,0.0023
5/8/14,-0.001095429,0.000308131,-0.000763989,-0.002965163,0.000950457,0,0.002,-0.0051,-0.0049,-0.0051,-0.0012,0.0031,-0.0008,-0.0026
