Date,Price,Open,High,Low,Change %
29-Jan-16,121.06,118.8,121.7,118.48,1.88%
28-Jan-16,118.83,118.67,119,118.39,0.13%
27-Jan-16,118.67,118.41,119.08,118.01,0.21%
26-Jan-16,118.42,118.29,118.62,117.63,0.10%
25-Jan-16,118.3,118.5,118.86,118.16,-0.40%
22-Jan-16,118.78,117.7,118.89,117.52,0.92%
21-Jan-16,117.7,116.92,117.83,116.45,0.65%
20-Jan-16,116.94,117.61,117.69,115.96,-0.60%
19-Jan-16,117.64,117.31,118.13,117.23,0.26%
18-Jan-16,117.34,116.88,117.47,116.55,0.24%
15-Jan-16,117.06,118.02,118.28,116.49,-0.84%
14-Jan-16,118.05,117.66,118.28,117.27,0.31%
13-Jan-16,117.69,117.64,118.39,117.61,0.04%
12-Jan-16,117.64,117.73,118.08,117.2,-0.11%
11-Jan-16,117.77,117.43,118.03,116.68,0.27%
8-Jan-16,117.45,117.66,118.77,117.42,-0.20%
7-Jan-16,117.68,118.46,118.77,117.3,-0.67%
6-Jan-16,118.47,119.05,119.17,118.22,-0.50%
5-Jan-16,119.06,119.41,119.71,118.77,-0.32%
4-Jan-16,119.44,120.27,120.47,118.68,-0.74%
1-Jan-16,120.33,120.27,120.33,120.27,0.01%
31-Dec-15,120.32,120.49,120.6,119.98,-0.17%
30-Dec-15,120.52,120.46,120.67,120.32,0.04%
29-Dec-15,120.47,120.38,120.5,120.2,0.05%
28-Dec-15,120.41,120.22,120.66,120.15,-0.01%
25-Dec-15,120.42,120.46,120.48,120.02,-0.02%
24-Dec-15,120.44,120.9,121,120.22,-0.41%
23-Dec-15,120.93,121.06,121.14,120.78,-0.12%
22-Dec-15,121.08,121.16,121.33,120.7,-0.09%
21-Dec-15,121.19,121.21,121.55,120.83,-0.02%
18-Dec-15,121.22,122.55,123.6,121.04,-1.09%
17-Dec-15,122.56,122.19,122.88,122.17,0.28%
16-Dec-15,122.22,121.65,122.42,121.41,0.44%
15-Dec-15,121.68,121.02,121.82,120.55,0.54%
14-Dec-15,121.03,120.96,121.36,120.32,0.14%
11-Dec-15,120.86,121.58,122.22,120.57,-0.61%
10-Dec-15,121.6,121.45,121.89,121.23,0.13%
9-Dec-15,121.44,122.92,123.06,121.05,-1.20%
8-Dec-15,122.92,123.36,123.42,122.69,-0.37%
7-Dec-15,123.38,123.2,123.47,123.12,0.17%
4-Dec-15,123.17,122.57,123.38,122.44,0.46%
3-Dec-15,122.61,123.24,123.58,122.27,-0.52%
2-Dec-15,123.25,122.87,123.67,122.8,0.31%
1-Dec-15,122.87,123.08,123.29,122.62,-0.19%
30-Nov-15,123.1,122.79,123.36,122.66,0.21%
27-Nov-15,122.84,122.6,122.89,122.28,0.18%
26-Nov-15,122.62,122.68,122.75,122.47,-0.08%
25-Nov-15,122.72,122.51,122.95,122.23,0.16%
24-Nov-15,122.53,122.83,122.97,122.29,-0.25%
23-Nov-15,122.84,122.77,123.28,122.73,-0.06%
20-Nov-15,122.91,122.85,123.07,122.7,0.04%
19-Nov-15,122.86,123.62,123.64,122.6,-0.63%
18-Nov-15,123.64,123.43,123.69,123.19,0.15%
17-Nov-15,123.45,123.17,123.5,123.14,0.23%
16-Nov-15,123.17,122.32,123.3,122.2,0.43%
13-Nov-15,122.64,122.59,123,122.43,0.02%
12-Nov-15,122.61,122.85,123.09,122.53,-0.19%
11-Nov-15,122.84,123.16,123.25,122.73,-0.24%
10-Nov-15,123.14,123.17,123.45,123,-0.04%
9-Nov-15,123.19,123.14,123.61,122.95,0.02%
6-Nov-15,123.16,121.74,123.29,121.6,1.16%
5-Nov-15,121.75,121.56,122.01,121.35,0.16%
4-Nov-15,121.56,121.06,121.73,120.98,0.41%
3-Nov-15,121.06,120.73,121.23,120.57,0.26%
2-Nov-15,120.75,120.63,120.81,120.24,0.11%
30-Oct-15,120.62,121.12,121.47,120.26,-0.42%
29-Oct-15,121.13,121.08,121.19,120.56,0.03%
28-Oct-15,121.09,120.44,121.28,120.23,0.52%
27-Oct-15,120.46,121.1,121.11,120.14,-0.52%
26-Oct-15,121.09,121.41,121.53,120.59,-0.31%
23-Oct-15,121.47,120.69,121.5,120.21,0.65%
22-Oct-15,120.69,119.9,120.79,119.59,0.62%
21-Oct-15,119.95,119.83,120.11,119.73,0.09%
20-Oct-15,119.84,119.47,119.98,119.38,0.28%
19-Oct-15,119.5,119.47,119.58,119.12,0.05%
16-Oct-15,119.44,118.88,119.69,118.8,0.46%
15-Oct-15,118.89,118.81,119.18,118.04,0.05%
14-Oct-15,118.83,119.73,119.81,118.62,-0.77%
13-Oct-15,119.75,120.04,120.08,119.53,-0.23%
12-Oct-15,120.03,120.24,120.28,119.86,-0.21%
9-Oct-15,120.28,119.93,120.38,119.82,0.28%
8-Oct-15,119.94,120,120.12,119.6,-0.07%
7-Oct-15,120.02,120.2,120.36,119.72,-0.19%
6-Oct-15,120.25,120.46,120.58,120.08,-0.17%
5-Oct-15,120.46,119.97,120.56,119.85,0.46%
2-Oct-15,119.91,119.92,120.42,118.67,-0.03%
1-Oct-15,119.94,119.85,120.3,119.48,0.07%
30-Sep-15,119.86,119.72,120.38,119.54,0.11%
29-Sep-15,119.73,119.91,120.17,119.22,-0.16%
28-Sep-15,119.92,120.51,120.59,119.67,-0.55%
25-Sep-15,120.58,120.06,121.26,119.99,0.42%
24-Sep-15,120.08,120.25,120.41,119.21,-0.18%
23-Sep-15,120.3,120.12,120.56,119.61,0.12%
22-Sep-15,120.15,120.56,120.64,119.68,-0.33%
21-Sep-15,120.55,119.79,120.67,119.71,0.46%
18-Sep-15,120,119.98,120.3,119.03,0.00%
17-Sep-15,120,120.54,121.02,119.77,-0.46%
16-Sep-15,120.56,120.4,120.73,120.08,0.10%
15-Sep-15,120.44,120.23,120.67,119.38,0.17%
14-Sep-15,120.23,120.58,120.84,119.83,-0.29%
11-Sep-15,120.58,120.6,120.99,120.34,-0.02%
10-Sep-15,120.61,120.51,121.34,119.95,0.08%
9-Sep-15,120.51,119.81,121.22,119.78,0.58%
8-Sep-15,119.81,119.27,120.23,118.83,0.44%
7-Sep-15,119.28,118.65,119.58,118.65,0.24%
4-Sep-15,119,120.05,120.19,118.75,-0.90%
3-Sep-15,120.08,120.32,120.7,119.62,-0.21%
2-Sep-15,120.33,119.37,120.47,119.2,0.80%
1-Sep-15,119.38,121.2,121.28,119.26,-1.52%
31-Aug-15,121.22,121.65,121.75,120.86,-0.41%
28-Aug-15,121.72,121,121.73,120.63,0.57%
27-Aug-15,121.03,119.9,121.39,119.77,0.93%
26-Aug-15,119.92,118.84,120.03,118.43,0.87%
25-Aug-15,118.88,118.39,120.41,118.23,0.39%
24-Aug-15,118.42,121.68,122.04,116.46,-2.96%
21-Aug-15,122.03,123.4,123.5,121.8,-1.12%
20-Aug-15,123.41,123.78,124.17,123.31,-0.32%
19-Aug-15,123.81,124.39,124.5,123.68,-0.48%
18-Aug-15,124.41,124.37,124.53,124.16,0.02%
17-Aug-15,124.39,124.39,124.58,124.19,0.06%
14-Aug-15,124.31,124.4,124.56,124.02,-0.09%
13-Aug-15,124.42,124.18,124.64,124.06,0.17%
12-Aug-15,124.21,125.1,125.29,123.77,-0.74%
11-Aug-15,125.13,124.61,125.23,124.49,0.40%
10-Aug-15,124.63,124.13,124.8,124.12,0.33%
7-Aug-15,124.22,124.74,125.08,124.08,-0.42%
6-Aug-15,124.74,124.85,124.97,124.52,-0.13%
5-Aug-15,124.9,124.38,125.03,123.99,0.41%
4-Aug-15,124.39,124,124.41,123.77,0.29%
3-Aug-15,124.03,124,124.3,123.83,0.07%
31-Jul-15,123.94,124.15,124.39,123.5,-0.16%
30-Jul-15,124.14,123.93,124.58,123.85,0.16%
29-Jul-15,123.94,123.56,124.03,123.3,0.31%
28-Jul-15,123.56,123.25,123.81,123.04,0.25%
27-Jul-15,123.25,123.71,123.86,122.98,-0.46%
24-Jul-15,123.82,123.9,124.12,123.57,-0.08%
23-Jul-15,123.92,123.94,124.2,123.65,-0.04%
22-Jul-15,123.97,123.85,124.17,123.54,0.06%
21-Jul-15,123.89,124.26,124.5,123.73,-0.31%
20-Jul-15,124.27,124.06,124.39,123.96,0.15%
17-Jul-15,124.08,124.15,124.23,123.89,-0.06%
16-Jul-15,124.16,123.76,124.19,123.71,0.31%
15-Jul-15,123.78,123.36,123.99,123.23,0.32%
14-Jul-15,123.38,123.42,123.75,122.91,-0.05%
13-Jul-15,123.44,122,123.55,122,0.56%
10-Jul-15,122.75,121.33,122.89,121.25,1.16%
9-Jul-15,121.34,120.71,121.58,120.44,0.53%
8-Jul-15,120.7,122.52,122.58,120.38,-1.51%
7-Jul-15,122.55,122.56,122.89,121.98,-0.02%
6-Jul-15,122.58,122.05,122.94,121.72,-0.19%
3-Jul-15,122.81,123.03,123.2,122.57,-0.20%
2-Jul-15,123.06,123.16,123.75,122.94,-0.09%
1-Jul-15,123.17,122.46,123.25,122.33,0.55%
30-Jun-15,122.5,122.53,122.73,121.92,-0.03%
29-Jun-15,122.54,122.7,123.2,122.1,-1.07%
26-Jun-15,123.86,123.6,123.98,123.2,0.19%
25-Jun-15,123.62,123.84,123.97,123.3,-0.19%
24-Jun-15,123.85,123.93,124.38,123.69,-0.08%
23-Jun-15,123.95,123.35,124.19,123.32,0.46%
22-Jun-15,123.38,122.81,123.44,122.54,0.58%
19-Jun-15,122.67,122.95,123.25,122.53,-0.24%
18-Jun-15,122.97,123.42,123.61,122.46,-0.38%
17-Jun-15,123.44,123.34,124.45,123.19,0.06%
16-Jun-15,123.36,123.41,123.79,123.27,-0.05%
15-Jun-15,123.42,123.34,123.67,123.1,0.02%
12-Jun-15,123.39,123.39,123.83,123.11,-0.02%
11-Jun-15,123.42,122.67,124.15,122.6,0.61%
10-Jun-15,122.67,124.32,124.64,122.43,-1.34%
9-Jun-15,124.34,124.46,124.75,123.84,-0.11%
8-Jun-15,124.48,125.58,125.69,124.28,-0.91%
5-Jun-15,125.62,124.35,125.86,124.32,1.00%
4-Jun-15,124.38,124.24,124.69,123.76,0.10%
3-Jun-15,124.25,124.11,124.69,123.77,0.11%
2-Jun-15,124.11,124.76,125.06,123.74,-0.54%
1-Jun-15,124.78,124.1,124.93,123.85,0.52%
29-May-15,124.14,123.95,124.22,123.58,0.15%
28-May-15,123.95,123.61,124.47,123.47,0.23%
27-May-15,123.67,123.05,124.08,122.76,0.45%
26-May-15,123.11,121.55,123.34,121.48,1.28%
25-May-15,121.56,121.48,121.78,121.42,0.01%
22-May-15,121.55,121.02,121.58,120.61,0.42%
21-May-15,121.04,121.31,121.4,120.82,-0.26%
20-May-15,121.36,120.68,121.48,120.56,0.56%
19-May-15,120.69,119.98,120.73,119.8,0.58%
18-May-15,119.99,119.25,120.04,119.22,0.59%
15-May-15,119.29,119.13,119.95,119.13,0.10%
14-May-15,119.17,119.15,119.38,118.86,0.01%
13-May-15,119.16,119.86,119.99,119.01,-0.58%
12-May-15,119.86,120.07,120.28,119.76,-0.18%
11-May-15,120.08,119.65,120.17,119.43,0.23%
8-May-15,119.81,119.72,120.25,119.58,0.07%
7-May-15,119.73,119.43,119.86,119.03,0.22%
6-May-15,119.47,119.84,120.08,119.18,-0.32%
5-May-15,119.85,120.1,120.54,119.71,-0.24%
4-May-15,120.14,120.15,120.31,119.97,-0.02%
1-May-15,120.17,119.37,120.3,119.34,0.68%
30-Apr-15,119.36,118.98,119.92,118.47,0.27%
29-Apr-15,119.04,118.82,119.38,118.58,0.15%
28-Apr-15,118.86,119,119.22,118.75,-0.15%
27-Apr-15,119.04,118.98,119.44,118.75,0.05%
24-Apr-15,118.98,119.58,119.67,118.8,-0.50%
23-Apr-15,119.58,119.91,120.11,119.4,-0.28%
22-Apr-15,119.92,119.65,119.97,119.32,0.21%
21-Apr-15,119.67,119.14,119.83,119.14,0.39%
20-Apr-15,119.2,118.8,119.45,118.51,0.24%
17-Apr-15,118.92,118.99,119.28,118.54,-0.08%
16-Apr-15,119.01,119.15,119.49,118.77,-0.12%
15-Apr-15,119.15,119.39,119.76,118.76,-0.20%
14-Apr-15,119.39,120.1,120.19,119.04,-0.62%
13-Apr-15,120.14,120.19,120.88,119.74,-0.07%
10-Apr-15,120.22,120.59,120.64,120.03,-0.31%
9-Apr-15,120.59,120.12,120.76,119.83,0.37%
8-Apr-15,120.14,120.24,120.36,119.62,-0.12%
7-Apr-15,120.28,119.52,120.45,119.41,0.63%
6-Apr-15,119.53,118.93,119.69,118.77,0.47%
3-Apr-15,118.97,119.71,119.8,118.69,-0.63%
2-Apr-15,119.72,119.76,119.91,119.42,-0.04%
1-Apr-15,119.77,120.1,120.34,119.4,-0.31%
