Date,Price,Open,High,Low,Vol.,Change %
3-Jan-14,80.95,80.77,81.06,80.64,19.02K,0.20%
6-Jan-14,80.81,81,81.08,80.69,24.67K,-0.17%
7-Jan-14,80.98,80.86,81.11,80.75,24.80K,0.21%
8-Jan-14,81.16,81.06,81.33,80.98,38.07K,0.22%
9-Jan-14,81.14,81.22,81.33,80.98,28.07K,-0.02%
10-Jan-14,80.75,81.08,81.27,80.62,38.73K,-0.48%
13-Jan-14,80.61,80.75,80.86,80.56,18.58K,-0.17%
14-Jan-14,80.76,80.67,80.79,80.54,13.17K,0.19%
15-Jan-14,81.14,80.75,81.25,80.75,23.12K,0.47%
16-Jan-14,81.02,81.19,81.2,80.87,21.42K,-0.15%
17-Jan-14,81.36,81.05,81.43,81.02,21.14K,0.42%
20-Jan-14,81.36,81.34,81.43,81.17,4.25K,0.00%
21-Jan-14,81.23,81.31,81.53,81.14,25.59K,-0.16%
22-Jan-14,81.31,81.17,81.33,81.08,15.00K,0.10%
23-Jan-14,80.53,81.38,81.4,80.49,34.88K,-0.96%
24-Jan-14,80.54,80.56,80.64,80.22,26.81K,0.01%
27-Jan-14,80.61,80.53,80.65,80.39,14.36K,0.09%
28-Jan-14,80.66,80.59,80.84,80.47,13.15K,0.06%
29-Jan-14,80.58,80.71,80.9,80.52,22.06K,-0.10%
30-Jan-14,81.19,80.64,81.25,80.64,24.07K,0.76%
31-Jan-14,81.4,81.17,81.44,81.08,23.50K,0.26%
3-Feb-14,81.11,81.39,81.42,81.09,20.22K,-0.36%
4-Feb-14,81.22,81.17,81.33,81.08,14.22K,0.14%
5-Feb-14,81.13,81.22,81.34,80.82,24.51K,-0.11%
6-Feb-14,81,81.16,81.35,80.81,28.10K,-0.16%
7-Feb-14,80.76,80.97,81.09,80.63,20.86K,-0.30%
10-Feb-14,80.73,80.82,80.84,80.67,10.59K,-0.04%
11-Feb-14,80.7,80.61,80.75,80.51,24.07K,-0.04%
12-Feb-14,80.74,80.7,80.92,80.57,18.61K,0.05%
13-Feb-14,80.38,80.75,80.75,80.25,25.28K,-0.45%
14-Feb-14,80.18,80.35,80.36,80.11,17.48K,-0.25%
17-Feb-14,80.18,80.16,80.2,79.99,4.07K,0.00%
18-Feb-14,80.05,80.2,80.27,80,17.20K,-0.16%
19-Feb-14,80.19,80.01,80.28,79.95,17.97K,0.17%
20-Feb-14,80.32,80.22,80.47,80.07,19.57K,0.16%
21-Feb-14,80.27,80.36,80.44,80.2,13.85K,-0.06%
24-Feb-14,80.22,80.28,80.4,80.12,11.98K,-0.06%
25-Feb-14,80.17,80.25,80.3,80.05,16.55K,-0.06%
26-Feb-14,80.46,80.16,80.56,80.12,22.71K,0.36%
27-Feb-14,80.31,80.42,80.6,80.25,19.97K,-0.19%
28-Feb-14,79.72,80.28,80.33,79.7,30.16K,-0.73%
3-Mar-14,80.09,79.86,80.11,79.78,22.93K,0.46%
4-Mar-14,80.18,80.1,80.22,79.92,15.66K,0.11%
5-Mar-14,80.12,80.14,80.28,80.06,15.26K,-0.07%
6-Mar-14,79.67,80.12,80.21,79.59,35.47K,-0.56%
7-Mar-14,79.72,79.67,79.86,79.44,26.14K,0.06%
10-Mar-14,79.77,79.69,79.83,79.64,19.69K,0.06%
11-Mar-14,79.73,79.77,79.94,79.71,21.54K,-0.05%
12-Mar-14,79.61,79.8,79.85,79.55,33.36K,-0.15%
13-Mar-14,79.63,79.64,79.69,79.28,26.54K,0.03%
14-Mar-14,79.44,79.61,79.69,79.33,14.41K,-0.24%
17-Mar-14,79.31,79.42,79.56,79.33,1.43K,-0.16%
18-Mar-14,79.54,79.52,79.67,79.42,16.75K,0.29%
