Date,Price,Open,High,Low,Vol.,Change %
29-Jan-16,587,571.98,593,570,14.68M,-7.61%
28-Jan-16,635.35,608.37,638.06,597.55,14.02M,8.91%
27-Jan-16,583.35,601.99,603.39,578.78,5.15M,-2.98%
26-Jan-16,601.25,603.45,604.5,590.38,3.77M,0.79%
25-Jan-16,596.53,597.99,608.5,594.56,4.40M,0.03%
22-Jan-16,596.38,588.73,600.1,584.11,5.12M,3.71%
21-Jan-16,575.02,573.58,588.81,568.22,4.95M,0.57%
20-Jan-16,571.77,564.36,578.45,547.18,7.97M,-0.47%
19-Jan-16,574.48,577.09,584,566.45,4.81M,0.75%
15-Jan-16,570.18,572.24,584.62,565.3,7.78M,-3.85%
14-Jan-16,593,580.25,602.25,569.88,7.24M,1.92%
13-Jan-16,581.81,620.88,620.88,579.16,7.66M,-5.84%
12-Jan-16,617.89,625.25,625.99,612.24,4.72M,0.02%
11-Jan-16,617.74,612.48,619.85,598.57,4.89M,1.76%
8-Jan-16,607.05,619.66,624.14,606,5.51M,-0.15%
7-Jan-16,607.94,621.8,630,605.21,7.07M,-3.91%
6-Jan-16,632.65,622,639.79,620.31,5.33M,-0.18%
5-Jan-16,633.79,646.86,646.91,627.65,5.82M,-0.50%
4-Jan-16,636.99,656.29,657.72,627.51,9.31M,-5.76%
31-Dec-15,675.89,686.08,687.75,675.89,3.75M,-1.91%
30-Dec-15,689.07,691.89,695.49,686.38,3.52M,-0.71%
29-Dec-15,693.97,677.98,696.44,677.89,5.73M,2.78%
28-Dec-15,675.2,665.56,675.5,665.5,3.78M,1.87%
24-Dec-15,662.79,663.35,664.68,660.6,1.09M,-0.14%
23-Dec-15,663.7,666.5,666.6,656.63,2.72M,0.08%
22-Dec-15,663.15,666.83,668.49,659.26,2.67M,-0.20%
21-Dec-15,664.51,668.5,669.9,658.93,3.25M,0.06%
18-Dec-15,664.14,668.65,676.84,664.13,6.84M,-0.97%
17-Dec-15,670.65,680,682.5,670.65,3.68M,-0.76%
16-Dec-15,675.77,663.56,677.35,659.32,3.96M,2.60%
15-Dec-15,658.64,665.03,671.5,657.35,4.75M,0.11%
14-Dec-15,657.91,641.75,658.59,635.27,4.36M,2.77%
11-Dec-15,640.15,651.23,657.88,639.62,5.47M,-3.35%
10-Dec-15,662.32,665.59,668.53,659.56,3.46M,-0.37%
9-Dec-15,664.79,678,679,655.68,5.16M,-1.85%
8-Dec-15,677.33,663.13,679.99,659.79,3.65M,1.12%
7-Dec-15,669.83,674.74,675.46,660.5,3.73M,-0.42%
4-Dec-15,672.64,666,674.77,661.4,4.53M,0.96%
3-Dec-15,666.25,679.44,682.79,661.48,5.06M,-1.44%
2-Dec-15,676.01,681,684.82,674.25,4.27M,-0.45%
1-Dec-15,679.06,673.75,681,667.86,4.75M,2.15%
30-Nov-15,664.8,675.9,681.29,664.6,5.69M,-1.26%
27-Nov-15,673.26,680.8,680.99,672.1,1.97M,-0.31%
25-Nov-15,675.34,675,679.7,671.24,2.70M,0.62%
24-Nov-15,671.15,674.14,675.8,661.21,4.54M,-1.15%
23-Nov-15,678.99,671.5,682.77,668.45,4.39M,1.58%
20-Nov-15,668.45,667.94,668.87,657.57,3.90M,1.09%
19-Nov-15,661.27,664.99,672.86,659,4.71M,-0.34%
18-Nov-15,663.54,646.51,664.88,646.37,4.47M,3.15%
17-Nov-15,643.3,650.65,653.25,641,4.32M,-0.70%
16-Nov-15,647.81,640.92,649.99,622.29,7.44M,0.85%
13-Nov-15,642.35,663.57,667,640.45,6.26M,-3.49%
12-Nov-15,665.6,673,675.64,664.22,4.28M,-1.14%
11-Nov-15,673.25,663.25,675.96,663.25,5.39M,2.06%
10-Nov-15,659.68,651.01,660,647.26,3.49M,0.64%
9-Nov-15,655.49,658.65,661.96,647.85,4.05M,-0.59%
6-Nov-15,659.37,655,662.26,652,4.09M,0.57%
5-Nov-15,655.65,647.1,657,643.09,4.72M,2.29%
4-Nov-15,640.95,627.76,645.93,627.35,4.84M,2.50%
3-Nov-15,625.31,629.53,629.89,622,3.25M,-0.48%
2-Nov-15,628.35,627.13,628.63,620.41,2.82M,0.39%
30-Oct-15,625.9,626.01,630.72,625.28,3.87M,-0.10%
29-Oct-15,626.55,617.7,627.54,615.39,3.90M,1.53%
28-Oct-15,617.1,612.3,617.23,609.5,3.93M,1.00%
27-Oct-15,611.01,608.6,614.71,605.53,3.79M,0.39%
26-Oct-15,608.61,602.3,609.85,596.29,4.27M,1.60%
23-Oct-15,599.03,617.68,619.45,595.36,10.69M,6.23%
22-Oct-15,563.91,562.7,569.15,556.67,7.78M,1.46%
21-Oct-15,555.77,563.87,565.25,552.52,3.36M,-0.91%
20-Oct-15,560.88,572,573,555.28,4.35M,-2.14%
19-Oct-15,573.15,570.76,579,567.38,4.38M,0.42%
16-Oct-15,570.76,565.27,570.94,560.31,4.32M,1.48%
15-Oct-15,562.44,547.75,563,547,4.94M,3.23%
14-Oct-15,544.83,551.34,552.25,539.68,3.58M,-0.74%
13-Oct-15,548.9,546.26,553.2,543.1,2.94M,-0.23%
12-Oct-15,550.19,539.96,550.82,539.8,2.78M,1.92%
9-Oct-15,539.8,534.48,541.79,530.27,3.54M,1.25%
8-Oct-15,533.16,536.71,539.39,519.89,4.68M,-1.62%
7-Oct-15,541.94,541.79,542,529,3.81M,0.83%
6-Oct-15,537.48,545.5,551.5,533.33,4.55M,-1.14%
5-Oct-15,543.68,536.99,545.91,536,3.39M,2.09%
2-Oct-15,532.54,512.99,532.6,508.1,4.60M,2.27%
1-Oct-15,520.72,511,520.8,506,3.77M,1.72%
30-Sep-15,511.89,505.44,512.8,501.67,4.00M,3.19%
29-Sep-15,496.07,506,511.48,490.5,4.46M,-1.59%
28-Sep-15,504.06,520.02,520.28,494.33,5.43M,-3.85%
25-Sep-15,524.25,542.57,542.8,521.4,4.03M,-1.78%
24-Sep-15,533.75,530.55,534.56,522.87,3.50M,-0.43%
23-Sep-15,536.07,538.3,541.21,534,2.24M,-0.43%
