Date,Price,Open,High,Low,Vol.,Change %
29-Jan-16,97.34,94.79,97.34,94.35,64.42M,3.45%
28-Jan-16,94.09,93.79,94.52,92.39,55.68M,0.72%
27-Jan-16,93.42,96.04,96.63,93.34,133.37M,-6.57%
26-Jan-16,99.99,99.93,100.88,98.07,75.08M,0.55%
25-Jan-16,99.44,101.52,101.53,99.21,51.79M,-1.95%
22-Jan-16,101.42,98.63,101.46,98.37,65.80M,5.32%
21-Jan-16,96.3,97.06,97.88,94.94,52.16M,-0.51%
20-Jan-16,96.79,95.1,98.19,93.42,72.33M,0.13%
19-Jan-16,96.66,98.41,98.65,95.5,53.09M,-0.48%
15-Jan-16,97.13,96.2,97.71,95.36,79.83M,-2.40%
14-Jan-16,99.52,97.96,100.48,95.74,63.17M,2.19%
13-Jan-16,97.39,100.32,101.19,97.3,62.44M,-2.57%
12-Jan-16,99.96,100.55,100.69,98.84,49.15M,1.45%
11-Jan-16,98.53,98.97,99.06,97.34,49.74M,1.62%
8-Jan-16,96.96,98.55,99.11,96.76,70.80M,0.53%
7-Jan-16,96.45,98.68,100.13,96.43,81.09M,-4.22%
6-Jan-16,100.7,100.56,102.37,99.87,68.46M,-1.96%
5-Jan-16,102.71,105.75,105.85,102.41,55.79M,-2.51%
4-Jan-16,105.35,102.61,105.37,102,67.65M,0.09%
31-Dec-15,105.26,107.01,107.03,104.82,40.91M,-1.92%
30-Dec-15,107.32,108.58,108.7,107.18,25.21M,-1.31%
29-Dec-15,108.74,106.96,109.43,106.86,30.93M,1.80%
28-Dec-15,106.82,107.59,107.69,106.18,26.70M,-1.12%
24-Dec-15,108.03,109,109,107.95,13.60M,-0.53%
23-Dec-15,108.61,107.27,108.85,107.2,32.66M,1.29%
22-Dec-15,107.23,107.4,107.72,106.45,32.79M,-0.09%
21-Dec-15,107.33,107.28,107.37,105.57,47.59M,1.23%
18-Dec-15,106.03,108.91,109.52,105.81,96.45M,-2.71%
17-Dec-15,108.98,112.02,112.25,108.98,44.77M,-2.12%
16-Dec-15,111.34,111.07,111.99,108.8,56.24M,0.77%
15-Dec-15,110.49,111.94,112.8,110.35,53.32M,-1.77%
14-Dec-15,112.48,112.18,112.68,109.79,65.00M,-0.62%
11-Dec-15,113.18,115.19,115.39,112.85,46.89M,-2.57%
10-Dec-15,116.17,116.04,116.94,115.51,29.21M,0.48%
9-Dec-15,115.62,117.64,117.69,115.08,46.36M,-2.21%
8-Dec-15,118.23,117.52,118.6,116.86,34.31M,-0.04%
7-Dec-15,118.28,118.98,119.86,117.81,32.08M,-0.63%
4-Dec-15,119.03,115.29,119.25,115.11,57.78M,3.32%
3-Dec-15,115.2,116.55,116.79,114.22,41.57M,-0.93%
2-Dec-15,116.28,117.05,118.11,116.08,33.39M,-0.90%
1-Dec-15,117.34,118.75,118.81,116.86,34.85M,-0.81%
30-Nov-15,118.3,117.99,119.41,117.75,39.18M,0.42%
27-Nov-15,117.81,118.29,118.41,117.6,13.05M,-0.19%
25-Nov-15,118.03,119.21,119.23,117.92,21.39M,-0.72%
24-Nov-15,118.88,117.33,119.35,117.12,42.80M,0.96%
23-Nov-15,117.75,119.27,119.73,117.34,32.48M,-1.30%
20-Nov-15,119.3,119.2,119.92,118.85,34.29M,0.44%
19-Nov-15,118.78,117.64,119.75,116.76,43.30M,1.27%
18-Nov-15,117.29,115.76,117.49,115.5,46.67M,3.17%
17-Nov-15,113.69,114.92,115.05,113.32,27.62M,-0.42%
16-Nov-15,114.17,111.38,114.24,111,38.11M,1.63%
13-Nov-15,112.34,115.2,115.57,112.27,45.81M,-2.92%
12-Nov-15,115.72,116.26,116.82,115.65,32.53M,-0.34%
11-Nov-15,116.11,116.37,117.42,115.21,45.22M,-0.57%
10-Nov-15,116.77,116.9,118.07,116.06,59.13M,-3.15%
9-Nov-15,120.57,120.96,121.81,120.05,33.87M,-0.40%
6-Nov-15,121.06,121.11,121.81,120.62,33.04M,0.12%
5-Nov-15,120.92,121.85,122.69,120.18,39.55M,-0.89%
4-Nov-15,122,123.13,123.82,121.62,44.89M,-0.47%
3-Nov-15,122.57,120.79,123.49,120.7,45.52M,1.15%
2-Nov-15,121.18,119.87,121.36,119.61,32.20M,1.41%
30-Oct-15,119.5,120.99,121.22,119.45,49.37M,-0.85%
29-Oct-15,120.53,118.7,120.69,118.27,51.23M,1.06%
28-Oct-15,119.27,116.93,119.3,116.06,85.55M,4.12%
27-Oct-15,114.55,115.4,116.54,113.99,69.88M,-0.63%
26-Oct-15,115.28,118.08,118.13,114.92,66.33M,-3.19%
23-Oct-15,119.08,116.7,119.23,116.33,59.37M,3.10%
22-Oct-15,115.5,114.33,115.5,114.1,41.65M,1.53%
21-Oct-15,113.76,114,115.58,113.7,42.33M,-0.01%
20-Oct-15,113.77,111.34,114.17,110.82,48.97M,1.83%
19-Oct-15,111.73,110.8,111.75,110.11,29.76M,0.62%
16-Oct-15,111.04,111.78,112,110.53,39.23M,-0.73%
15-Oct-15,111.86,110.93,112.1,110.49,37.67M,1.50%
