Date,Price,Open,High,Low,Vol.,Change %
29-Jan-16,23.46,23.19,23.48,22.95,30.60M,1.43%
28-Jan-16,23.13,23.23,24.13,22.4,55.88M,-12.45%
27-Jan-16,26.42,26.71,27.07,26.09,18.60M,-0.86%
26-Jan-16,26.65,26.2,26.67,26.2,7.63M,1.95%
25-Jan-16,26.14,26.4,26.55,26.1,9.87M,-1.10%
22-Jan-16,26.43,26.46,26.74,26.11,10.45M,1.30%
21-Jan-16,26.09,25.87,26.25,25.32,15.40M,1.05%
20-Jan-16,25.82,24.84,26.14,24.76,17.51M,0.19%
19-Jan-16,25.77,25.61,25.91,25.36,13.82M,2.02%
15-Jan-16,25.26,25.05,25.48,24.8,14.33M,-2.32%
14-Jan-16,25.86,25.42,26.14,24.95,16.55M,1.77%
13-Jan-16,25.41,26.41,26.46,25.26,11.66M,-3.05%
12-Jan-16,26.21,26.11,26.4,25.92,9.44M,0.42%
11-Jan-16,26.1,25.95,26.25,25.8,11.94M,1.36%
8-Jan-16,25.75,25.97,26.16,25.67,11.23M,0.23%
7-Jan-16,25.69,25.8,26.47,25.6,13.35M,-2.73%
6-Jan-16,26.41,25.83,26.66,25.77,12.14M,1.11%
5-Jan-16,26.12,26.61,26.86,25.94,16.69M,-1.17%
4-Jan-16,26.43,27.11,27.25,26.08,19.11M,-3.82%
31-Dec-15,27.48,27.63,27.69,27.45,4.92M,-0.97%
30-Dec-15,27.75,27.73,27.99,27.71,4.04M,-0.57%
29-Dec-15,27.91,27.73,28,27.7,4.33M,0.98%
28-Dec-15,27.64,27.52,27.69,27.32,3.72M,-0.07%
24-Dec-15,27.66,27.91,27.94,27.6,2.52M,-0.43%
23-Dec-15,27.78,28,28.04,27.65,5.32M,-0.39%
22-Dec-15,27.89,27.62,28.07,27.42,12.38M,1.09%
21-Dec-15,27.59,27.62,27.71,27.25,10.80M,0.47%
18-Dec-15,27.46,27.84,28.07,27.45,20.49M,-2.10%
17-Dec-15,28.05,28.65,28.75,28.03,7.32M,-1.82%
16-Dec-15,28.57,28.52,28.66,28.26,12.51M,0.92%
15-Dec-15,28.31,28.23,28.6,28.21,10.29M,0.96%
14-Dec-15,28.04,28.1,28.42,27.85,11.47M,0.29%
11-Dec-15,27.96,28.19,28.43,27.87,9.11M,-2.14%
10-Dec-15,28.57,28.28,28.89,28.23,8.83M,0.81%
9-Dec-15,28.34,28.42,28.84,28.14,7.13M,-1.56%
8-Dec-15,28.79,28.93,29.1,28.5,8.94M,-0.90%
7-Dec-15,29.05,29.29,29.37,28.82,7.04M,-1.02%
4-Dec-15,29.35,28.72,29.59,28.59,10.06M,2.66%
3-Dec-15,28.59,29,29,28.11,13.64M,-1.31%
2-Dec-15,28.97,29.16,29.41,28.79,10.63M,-0.28%
1-Dec-15,29.05,29.75,29.83,29.02,12.95M,-1.82%
30-Nov-15,29.59,29.09,29.62,29.04,16.69M,1.68%
27-Nov-15,29.1,29.09,29.22,28.79,5.32M,0.34%
25-Nov-15,29,28.78,29.04,28.71,6.66M,0.00%
24-Nov-15,29,28.42,29.18,28.42,7.77M,0.55%
23-Nov-15,28.84,28.92,29.12,28.64,7.37M,-0.76%
20-Nov-15,29.06,28.99,29.16,28.66,8.00M,1.01%
19-Nov-15,28.77,28.56,28.89,28.56,6.75M,0.07%
18-Nov-15,28.75,28.62,28.78,28.19,10.80M,1.05%
17-Nov-15,28.45,28.5,28.72,28.32,9.10M,-0.11%
16-Nov-15,28.48,28.29,28.5,27.96,11.12M,1.03%
13-Nov-15,28.19,28.55,29.04,28.14,14.70M,-1.30%
12-Nov-15,28.56,28.67,28.92,28.53,11.70M,-1.35%
11-Nov-15,28.95,29.1,29.33,28.88,22.13M,-0.65%
10-Nov-15,29.14,29.18,29.3,28.84,13.60M,-0.14%
9-Nov-15,29.18,29.38,29.38,28.82,11.25M,-0.75%
6-Nov-15,29.4,29.03,29.69,28.97,12.31M,0.34%
5-Nov-15,29.3,28.92,29.58,28.92,12.50M,0.00%
4-Nov-15,29.3,28.9,29.38,28.88,13.53M,1.38%
3-Nov-15,28.9,28.41,29.29,28.37,16.64M,1.40%
2-Nov-15,28.5,27.73,28.52,27.72,11.31M,2.15%
30-Oct-15,27.9,28.24,28.3,27.81,9.79M,-0.99%
29-Oct-15,28.18,28.21,28.32,28.02,9.02M,-0.25%
28-Oct-15,28.25,28.47,28.47,27.96,11.37M,-0.42%
27-Oct-15,28.37,28.21,28.44,28.06,10.97M,0.71%
26-Oct-15,28.17,27.74,28.23,27.69,13.16M,0.04%
23-Oct-15,28.16,27.73,28.57,27.32,21.80M,2.10%
22-Oct-15,27.58,26.5,27.66,26.26,44.61M,13.92%
21-Oct-15,24.21,24.56,24.7,24.18,17.81M,-0.86%
20-Oct-15,24.42,24.56,24.68,24.25,12.34M,-0.53%
19-Oct-15,24.55,24.54,24.57,24.26,11.45M,0.00%
16-Oct-15,24.55,24.46,24.72,24.4,9.14M,0.16%
15-Oct-15,24.51,24.15,24.54,23.96,16.10M,2.13%
14-Oct-15,24,24.79,24.8,23.93,14.58M,-2.52%
13-Oct-15,24.62,24.53,24.9,24.41,11.54M,0.24%
12-Oct-15,24.56,24.04,24.62,23.98,9.88M,1.07%
9-Oct-15,24.3,24.21,24.42,24.05,17.63M,0.62%
8-Oct-15,24.15,24.94,25.08,23.62,48.54M,-5.96%
7-Oct-15,25.68,25.91,25.93,25.49,11.44M,0.00%
6-Oct-15,25.68,25.68,25.84,25.57,9.04M,-0.19%
5-Oct-15,25.73,25.59,25.88,25.51,11.76M,0.78%
2-Oct-15,25.53,24.51,25.55,24.31,13.23M,2.49%
1-Oct-15,24.91,24.5,25.01,24.44,16.27M,1.92%
30-Sep-15,24.44,24.32,24.5,24.03,12.86M,1.50%
29-Sep-15,24.08,24.2,24.38,23.76,19.65M,-0.25%
28-Sep-15,24.14,25.15,25.22,24.1,15.79M,-4.70%
