Date,Price,Open,High,Low,Vol.,Change %
29-Jan-16,112.21,108.99,112.84,108.84,62.74M,2.84%
28-Jan-16,109.11,107.2,110.34,104.81,107.48M,15.52%
27-Jan-16,94.45,97.79,97.85,94.23,58.70M,-2.97%
26-Jan-16,97.34,97.76,97.88,95.66,26.88M,0.34%
25-Jan-16,97.01,98.72,99.48,96.93,32.48M,-0.95%
22-Jan-16,97.94,96.41,98.07,95.49,30.50M,4.01%
21-Jan-16,94.16,94.91,95.99,92.62,30.52M,-0.20%
20-Jan-16,94.35,92.83,95,89.37,59.05M,-0.96%
19-Jan-16,95.26,96.53,97.42,93.92,31.00M,0.31%
15-Jan-16,94.97,93.98,96.38,93.54,46.13M,-3.46%
14-Jan-16,98.37,95.85,98.87,92.45,48.66M,3.07%
13-Jan-16,95.44,100.58,100.58,95.21,33.41M,-3.95%
12-Jan-16,99.37,99,99.96,97.55,28.40M,1.91%
11-Jan-16,97.51,97.91,98.6,95.39,29.93M,0.18%
8-Jan-16,97.33,99.88,100.5,97.03,35.40M,-0.60%
7-Jan-16,97.92,100.5,101.43,97.3,45.17M,-4.90%
6-Jan-16,102.97,101.13,103.77,100.9,25.10M,0.23%
5-Jan-16,102.73,102.89,103.71,101.67,23.26M,0.50%
4-Jan-16,102.22,101.95,102.24,99.75,37.91M,-2.33%
31-Dec-15,104.66,106,106.17,104.62,18.39M,-1.47%
30-Dec-15,106.22,107,107.25,106.06,13.12M,-0.97%
29-Dec-15,107.26,106.42,107.74,106.25,17.18M,1.26%
28-Dec-15,105.93,105.02,105.98,104.53,13.07M,0.87%
24-Dec-15,105.02,104.74,105.32,104.5,6.51M,0.37%
23-Dec-15,104.63,105.89,106.11,103.86,19.60M,-0.83%
22-Dec-15,105.51,105.22,105.66,104.81,14.60M,0.71%
21-Dec-15,104.77,104.91,105.15,103.6,16.14M,0.70%
18-Dec-15,104.04,106.08,106.59,103.97,35.99M,-2.05%
17-Dec-15,106.22,107.49,107.75,106.13,21.68M,-0.53%
16-Dec-15,106.79,105.37,107.09,104.19,22.68M,2.14%
15-Dec-15,104.55,105.3,105.8,104.28,21.76M,-0.11%
14-Dec-15,104.66,102.28,104.74,101.46,24.81M,2.49%
11-Dec-15,102.12,104.15,104.34,101.91,26.43M,-3.13%
10-Dec-15,105.42,105.05,106.4,104.41,17.45M,0.78%
9-Dec-15,104.6,106.18,106.44,103.55,23.52M,-1.77%
8-Dec-15,106.49,104,106.91,103.95,20.40M,0.83%
7-Dec-15,105.61,106.48,106.83,104.66,15.47M,-0.54%
4-Dec-15,106.18,104.81,107.73,104.11,21.22M,1.72%
3-Dec-15,104.38,106.27,106.85,103.35,23.24M,-1.59%
