Date,Price,Open,High,Low,Vol.,Change %
29-Jan-16,761.35,748.96,765.11,744.2,3.79M,1.74%
28-Jan-16,748.3,738.19,751.16,730.6,3.11M,4.28%
27-Jan-16,717.58,735.89,735.89,713.45,2.12M,-2.21%
26-Jan-16,733.79,735.21,739.46,726.97,1.55M,0.02%
25-Jan-16,733.62,743.84,752.46,732.5,2.27M,-1.59%
22-Jan-16,745.46,742,748.56,740.5,2.36M,2.59%
21-Jan-16,726.67,720.17,737.67,711.11,2.60M,1.13%
20-Jan-16,718.56,705.9,726.95,687.78,4.12M,-0.07%
19-Jan-16,719.08,720.15,725.35,709.85,2.44M,1.21%
15-Jan-16,710.49,709.99,724.16,701.51,3.83M,-2.86%
14-Jan-16,731.39,724.44,739.89,705,2.78M,1.64%
13-Jan-16,719.57,749.34,753,716.78,2.59M,-3.46%
12-Jan-16,745.34,740.75,748.34,736.43,2.34M,1.67%
11-Jan-16,733.07,731.95,735.08,719.56,2.54M,0.30%
8-Jan-16,730.91,747.8,750.12,728.92,2.38M,-1.36%
7-Jan-16,741,746.49,755.31,735.28,3.16M,-2.41%
6-Jan-16,759.33,750.37,765.73,748,2.41M,-0.29%
5-Jan-16,761.53,764.1,769.2,755.65,2.26M,0.28%
4-Jan-16,759.44,762.2,762.2,747.54,3.37M,-2.39%
31-Dec-15,778.01,787.82,788.33,777.32,1.64M,-1.56%
30-Dec-15,790.3,793.96,796.46,787.2,1.43M,-0.46%
29-Dec-15,793.96,786.99,798.69,786.2,1.92M,1.50%
28-Dec-15,782.24,770,782.82,767.73,1.56M,2.14%
24-Dec-15,765.84,768.52,769.2,764.39,521.14K,-0.35%
23-Dec-15,768.51,770.69,771.9,757.65,1.53M,0.18%
22-Dec-15,767.13,764.27,770.34,761.2,1.82M,0.83%
21-Dec-15,760.8,763.05,766.35,754.15,1.74M,0.52%
18-Dec-15,756.85,767.23,774.14,756.59,3.39M,-1.69%
17-Dec-15,769.83,781.16,781.59,769.3,1.83M,-0.87%
16-Dec-15,776.59,766.57,781.5,757.04,2.66M,2.17%
15-Dec-15,760.09,767.79,774.75,758,2.47M,-0.32%
14-Dec-15,762.54,751.26,764.15,736.26,2.71M,1.62%
11-Dec-15,750.42,749,757.44,748.65,2.16M,-1.27%
10-Dec-15,760.04,763.59,766.07,755,1.62M,-0.33%
