Date,Price,Open,High,Low,Vol.,Change %
29-Jan-16,13.76,13.41,13.88,13.35,11.36M,4.32%
28-Jan-16,13.19,13.45,13.7,13.07,9.87M,-1.49%
27-Jan-16,13.39,13.53,13.61,12.96,18.48M,-1.54%
26-Jan-16,13.6,13.35,13.72,13.35,10.73M,1.95%
25-Jan-16,13.34,13.29,13.55,13.12,11.18M,-0.07%
22-Jan-16,13.35,12.7,13.43,12.65,15.27M,7.57%
21-Jan-16,12.41,12,12.54,11.82,16.73M,2.90%
20-Jan-16,12.06,12,12.2,11.62,16.64M,-2.11%
19-Jan-16,12.32,12.68,12.78,12.2,12.93M,-1.75%
15-Jan-16,12.54,12.6,12.8,12.49,19.73M,-3.54%
14-Jan-16,13,12.75,13.17,12.65,13.35M,1.96%
13-Jan-16,12.75,13.35,13.35,12.53,17.72M,-3.85%
12-Jan-16,13.26,13.35,13.42,13.09,12.46M,0.00%
11-Jan-16,13.26,13.43,13.71,13.07,15.11M,-2.07%
8-Jan-16,13.54,13.77,14.02,13.31,16.43M,-1.24%
7-Jan-16,13.71,14.5,14.56,13.65,19.84M,-7.36%
6-Jan-16,14.8,14.62,15,14.51,11.32M,-1.53%
5-Jan-16,15.03,15.13,15.25,14.94,10.33M,-0.66%
4-Jan-16,15.13,14.97,15.15,14.74,15.08M,-0.46%
31-Dec-15,15.2,15.23,15.31,15.1,6.77M,-0.52%
30-Dec-15,15.28,15.29,15.48,15.15,6.28M,0.53%
29-Dec-15,15.2,15.29,15.44,15.18,6.28M,-0.20%
28-Dec-15,15.23,14.89,15.28,14.82,5.93M,1.40%
24-Dec-15,15.02,14.81,15.17,14.79,2.18M,0.74%
23-Dec-15,14.91,14.19,14.97,14.05,11.25M,6.05%
22-Dec-15,14.06,14.04,14.14,13.92,7.29M,0.29%
21-Dec-15,14.02,14.12,14.4,13.87,9.86M,-0.99%
18-Dec-15,14.16,14.27,14.38,14,19.34M,-1.05%
17-Dec-15,14.31,14.61,14.72,14.22,7.63M,-2.65%
16-Dec-15,14.7,14.62,14.81,14.55,7.84M,0.96%
15-Dec-15,14.56,14.51,14.98,14.48,12.89M,0.83%
14-Dec-15,14.44,14.3,14.5,13.92,11.53M,1.83%
11-Dec-15,14.18,14.99,15.4,14.14,10.62M,-3.67%
10-Dec-15,14.72,14.79,14.81,14.53,11.35M,-0.88%
9-Dec-15,14.85,14.99,15.39,14.68,14.26M,-2.11%
8-Dec-15,15.17,15.09,15.29,14.62,11.62M,-1.81%
7-Dec-15,15.45,15,15.48,14.92,9.55M,1.51%
4-Dec-15,15.22,14.39,15.29,14.24,12.00M,4.10%
3-Dec-15,14.62,15,15.34,14.58,18.91M,-2.21%
2-Dec-15,14.95,15.37,15.54,14.87,12.68M,-4.23%
1-Dec-15,15.61,14.88,15.88,14.85,25.11M,5.05%
30-Nov-15,14.86,14.23,15,14.18,29.10M,3.55%
27-Nov-15,14.35,14.12,14.64,14.05,6.04M,1.63%
25-Nov-15,14.12,13.91,14.86,13.84,22.68M,3.14%
24-Nov-15,13.69,13.58,14.03,13.5,24.11M,-1.16%
23-Nov-15,13.85,14.17,14.21,13.57,15.32M,-2.53%
20-Nov-15,14.21,13.78,14.63,13.68,18.56M,3.12%
19-Nov-15,13.78,13.53,13.89,13.52,13.17M,1.03%
18-Nov-15,13.64,13.48,13.73,13.19,13.02M,3.18%
17-Nov-15,13.22,13.38,13.49,13.12,12.42M,-1.20%
16-Nov-15,13.38,13.37,13.61,13.14,13.78M,-0.07%
13-Nov-15,13.39,13.61,13.76,13.15,14.92M,-2.26%
12-Nov-15,13.7,13.81,13.82,13.59,20.37M,-2.91%
11-Nov-15,14.11,14.2,14.31,14.09,11.01M,-2.08%
10-Nov-15,14.41,14.13,14.44,14.01,14.78M,1.48%
9-Nov-15,14.2,14.26,14.48,14.13,17.53M,-1.39%
6-Nov-15,14.4,13.18,14.48,13.15,30.05M,8.43%
5-Nov-15,13.28,13.64,13.89,13.12,22.19M,-2.78%
4-Nov-15,13.66,14.39,14.51,13.61,31.53M,-4.87%
3-Nov-15,14.36,14.07,14.71,13.68,40.21M,-0.90%
2-Nov-15,14.49,14.99,15.17,13.86,40.87M,-1.56%
30-Oct-15,14.72,15.9,16.1,14.72,2.45M,-7.71%
29-Oct-15,15.95,16.01,16.27,15.55,290.45K,-2.03%
28-Oct-15,16.28,15.9,16.35,15.85,296.32K,3.50%
27-Oct-15,15.73,16.56,16.75,15.6,636.02K,-4.20%
26-Oct-15,16.42,17.11,17.11,16.31,514.80K,-3.41%
23-Oct-15,17,17.25,17.25,16.85,59.91K,0.29%
22-Oct-15,16.95,16.71,17.05,16.24,110.00K,2.85%
21-Oct-15,16.48,17.25,17.35,16.4,78.60K,-2.31%
20-Oct-15,16.87,16.25,16.93,16.25,709.63K,1.93%
