Date,Price,Open,High,Low,Vol.,Change %
29-Jan-16,17.64,17.57,17.64,17.43,31.20K,1.73%
28-Jan-16,17.34,17.46,17.49,17.3,16.87K,-0.86%
27-Jan-16,17.49,17.63,17.85,17.49,12.96K,-0.79%
26-Jan-16,17.63,17.5,17.72,17.45,26.29K,0.80%
25-Jan-16,17.49,18,18,17.47,30.68K,2.76%
22-Jan-16,17.02,16.99,17.06,16.96,39.92K,2.96%
21-Jan-16,16.53,16.4,16.75,16.25,46.70K,-0.30%
20-Jan-16,16.58,16.5,16.79,16.13,64.54K,-3.04%
19-Jan-16,17.1,17.4,17.81,17.04,82.15K,6.28%
15-Jan-16,16.09,16.33,16.33,16.05,86.93K,-6.89%
14-Jan-16,17.28,17.04,17.31,16.95,32.46K,2.43%
13-Jan-16,16.87,17.39,17.45,16.86,42.88K,-3.87%
12-Jan-16,17.55,17.67,17.67,17.4,40.76K,-0.45%
11-Jan-16,17.63,17.91,17.92,17.53,57.46K,-1.67%
8-Jan-16,17.93,18.57,18.58,17.93,76.42K,1.41%
7-Jan-16,17.68,17.72,18.03,17.68,38.92K,-1.94%
6-Jan-16,18.03,18.25,18.25,17.94,41.72K,-4.40%
5-Jan-16,18.86,18.93,18.93,18.76,29.88K,-0.37%
4-Jan-16,18.93,19.2,19.36,18.8,39.03K,-5.68%
31-Dec-15,20.07,20.11,20.18,20.07,36.27K,-0.84%
30-Dec-15,20.24,20.25,20.35,20.24,33.60K,-1.22%
29-Dec-15,20.49,20.54,20.57,20.48,19.36K,-0.53%
28-Dec-15,20.6,20.5,20.65,20.43,22.08K,-1.48%
24-Dec-15,20.91,21.15,21.15,20.9,16.48K,-0.99%
23-Dec-15,21.12,20.99,21.12,20.99,39.35K,2.38%
22-Dec-15,20.63,20.63,20.7,20.53,94.59K,0.05%
21-Dec-15,20.62,20.99,20.99,20.59,29.67K,1.13%
18-Dec-15,20.39,20.35,20.44,20.23,27.83K,-0.20%
17-Dec-15,20.43,20.8,20.8,20.43,20.12K,-2.67%
16-Dec-15,20.99,20.78,20.99,20.65,21.72K,2.24%
15-Dec-15,20.53,20.35,20.67,20.35,53.85K,0.83%
14-Dec-15,20.36,20.53,20.58,20.31,10.02K,0.10%
11-Dec-15,20.34,20.54,20.65,20.34,40.11K,-0.88%
10-Dec-15,20.52,20.76,20.76,20.51,32.91K,-3.21%
9-Dec-15,21.2,21.49,21.49,21.2,34.08K,-1.21%
8-Dec-15,21.46,21.43,21.5,21.41,22.54K,-1.78%
7-Dec-15,21.85,22.15,22.15,21.75,27.71K,1.16%
4-Dec-15,21.6,21.6,21.71,21.6,29.24K,1.65%
3-Dec-15,21.25,21.6,21.6,21.25,8.24K,-0.79%
2-Dec-15,21.42,21.69,21.69,21.42,18.58K,-1.38%
1-Dec-15,21.72,21.66,21.83,21.6,33.63K,1.02%
30-Nov-15,21.5,21.35,21.5,21.2,13.48K,2.77%
27-Nov-15,20.92,21.13,21.13,20.9,13.83K,-5.77%
25-Nov-15,22.2,22.4,22.4,22.2,15.06K,-1.07%
24-Nov-15,22.44,22.33,22.44,22.13,64.80K,4.28%
23-Nov-15,21.52,21.73,21.73,21.49,43.32K,-1.96%
20-Nov-15,21.95,21.95,22.03,21.95,57.78K,0.87%
19-Nov-15,21.76,21.86,21.86,21.72,30.71K,0.28%
18-Nov-15,21.7,21.61,21.73,21.5,19.23K,-0.64%
17-Nov-15,21.84,21.98,21.98,21.78,34.74K,0.55%
16-Nov-15,21.72,21.35,21.72,21.35,35.82K,4.42%
13-Nov-15,20.8,20.81,20.98,20.8,67.36K,6.23%
12-Nov-15,19.58,19.28,19.59,19.28,43.84K,4.71%
11-Nov-15,18.7,18.63,18.84,18.63,12.39K,0.75%
10-Nov-15,18.56,18.75,18.87,18.52,23.54K,-3.73%
9-Nov-15,19.28,19.3,19.64,19.18,22.04K,-0.82%
6-Nov-15,19.44,19.4,19.49,19.21,24.20K,-1.52%
5-Nov-15,19.74,19.7,19.74,19.61,23.40K,0.82%
4-Nov-15,19.58,19.52,19.8,19.52,36.81K,1.50%
3-Nov-15,19.29,19,19.32,19,15.42K,2.01%
2-Nov-15,18.91,18.58,18.93,18.57,42.71K,2.00%
30-Oct-15,18.54,18.23,18.69,18.23,28.27K,2.26%
29-Oct-15,18.13,18.03,18.16,18.02,21.85K,1.28%
28-Oct-15,17.9,18,18.11,17.76,50.50K,-1.70%
27-Oct-15,18.21,18.26,18.3,18.16,21.94K,-1.62%
26-Oct-15,18.51,18.65,18.65,18.38,46.91K,0.05%
23-Oct-15,18.5,18.33,18.5,18.33,20.83K,1.76%
22-Oct-15,18.18,18.24,18.24,17.98,22.39K,-2.15%
21-Oct-15,18.58,18.8,18.8,18.5,115.58K,-0.75%
20-Oct-15,18.72,18.84,18.84,18.59,48.80K,1.46%
19-Oct-15,18.45,18.98,18.98,18.39,67.18K,-4.01%
16-Oct-15,19.22,19.38,19.38,19.08,53.10K,-2.68%
15-Oct-15,19.75,19.58,19.82,19.58,107.81K,2.60%
14-Oct-15,19.25,19.66,19.66,19.24,52.33K,-1.99%
13-Oct-15,19.64,19.61,19.86,19.42,18.19K,1.45%
12-Oct-15,19.36,19.61,19.61,19.35,43.10K,6.90%
9-Oct-15,18.11,18.07,18.25,18.04,54.41K,1.63%
8-Oct-15,17.82,17.6,17.82,17.6,17.24K,0.39%
7-Oct-15,17.75,17.7,17.93,17.64,25.69K,4.11%
6-Oct-15,17.05,17.28,17.28,17.01,24.74K,-4.05%
5-Oct-15,17.77,17.52,17.79,17.51,18.21K,1.83%
2-Oct-15,17.45,16.94,17.49,16.94,38.14K,3.19%
1-Oct-15,16.91,16.86,17.04,16.83,27.36K,0.54%
30-Sep-15,16.82,16.98,17.19,16.73,31.37K,5.39%
29-Sep-15,15.96,15.91,16.1,15.72,49.73K,-3.62%
28-Sep-15,16.56,16.75,16.89,16.56,25.62K,-1.43%
