Date,Price,Open,High,Low,Vol.,Change %
29-Jan-16,55.09,54.73,55.09,54,83.61M,5.84%
28-Jan-16,52.05,51.86,52.21,51.25,62.51M,1.62%
27-Jan-16,51.22,52.01,52.2,51.02,36.78M,-1.82%
26-Jan-16,52.17,51.79,52.44,51.55,28.90M,0.73%
25-Jan-16,51.79,51.94,52.65,51.65,34.71M,-0.96%
22-Jan-16,52.29,51.41,52.33,51.26,37.56M,3.59%
21-Jan-16,50.48,51,51.58,50.3,40.19M,-0.61%
20-Jan-16,50.79,49.98,51.38,49.1,63.27M,0.45%
19-Jan-16,50.56,51.48,51.68,50.06,43.56M,-0.84%
15-Jan-16,50.99,51.31,51.97,50.34,71.82M,-3.99%
14-Jan-16,53.11,52,53.42,51.57,52.38M,2.85%
13-Jan-16,51.64,53.8,54.07,51.3,66.88M,-2.16%
12-Jan-16,52.78,52.76,53.1,52.06,36.10M,0.92%
11-Jan-16,52.3,52.51,52.85,51.46,36.94M,-0.06%
8-Jan-16,52.33,52.37,53.28,52.15,48.75M,0.31%
7-Jan-16,52.17,52.7,53.48,52.07,56.56M,-3.48%
6-Jan-16,54.05,54.32,54.4,53.64,39.52M,-1.82%
5-Jan-16,55.05,54.93,55.39,54.54,34.08M,0.46%
4-Jan-16,54.8,54.32,54.8,53.39,53.78M,-1.23%
31-Dec-15,55.48,56.04,56.19,55.42,27.33M,-1.47%
30-Dec-15,56.31,56.47,56.78,56.29,21.70M,-0.42%
29-Dec-15,56.55,56.29,56.85,56.06,27.73M,1.07%
28-Dec-15,55.95,55.35,55.95,54.98,22.46M,0.50%
24-Dec-15,55.67,55.86,55.96,55.43,9.57M,-0.27%
23-Dec-15,55.82,55.7,55.88,55.44,27.28M,0.85%
22-Dec-15,55.35,54.99,55.48,54.5,28.32M,0.95%
21-Dec-15,54.83,54.88,55.35,54.23,37.25M,1.29%
18-Dec-15,54.13,55.77,56,54.03,84.68M,-2.82%
17-Dec-15,55.7,56.36,56.79,55.53,41.28M,-0.77%
16-Dec-15,56.13,55.54,56.24,54.76,37.50M,1.68%
15-Dec-15,55.2,55.66,55.9,55.09,39.84M,0.11%
