Date,Price,Open,High,Low,Vol.,Change %
29-Jan-16,23.88,22.57,24.48,22.51,5.52M,17.69%
28-Jan-16,20.29,20.26,20.49,19.9,2.45M,-3.56%
27-Jan-16,21.04,21.22,21.43,20.92,739.86K,-0.89%
26-Jan-16,21.23,20.84,21.29,20.8,1.08M,0.47%
25-Jan-16,21.13,21.26,21.46,21.09,1.18M,-2.81%
22-Jan-16,21.74,21.4,21.89,21.37,1.69M,2.74%
21-Jan-16,21.16,20.93,21.48,20.84,1.30M,0.57%
20-Jan-16,21.04,20.89,21.3,20.16,2.71M,-5.27%
19-Jan-16,22.21,22.71,22.77,21.96,2.17M,3.59%
15-Jan-16,21.44,21.58,21.69,21.21,1.66M,-3.86%
14-Jan-16,22.3,22.25,22.39,21.9,3.01M,-0.84%
13-Jan-16,22.49,23.14,23.23,22.34,2.37M,-1.58%
12-Jan-16,22.85,23.08,23.09,22.55,2.06M,-2.18%
11-Jan-16,23.36,23.37,23.42,22.99,2.39M,1.57%
8-Jan-16,23,23.82,23.91,23,1.87M,-1.16%
7-Jan-16,23.27,23.52,23.65,23.17,2.11M,-1.52%
6-Jan-16,23.63,24.24,24.25,23.27,5.28M,-7.22%
5-Jan-16,25.47,24.91,25.72,24.91,3.48M,2.99%
4-Jan-16,24.73,24.45,24.8,24.31,2.48M,0.49%
31-Dec-15,24.61,24.67,24.77,24.51,688.93K,-0.44%
30-Dec-15,24.72,24.78,24.9,24.7,344.92K,-0.44%
29-Dec-15,24.83,24.86,24.9,24.68,657.63K,0.65%
28-Dec-15,24.67,24.71,24.79,24.53,590.17K,-0.12%
24-Dec-15,24.7,24.58,24.78,24.57,467.40K,0.32%
23-Dec-15,24.62,24.49,24.72,24.42,1.13M,1.32%
22-Dec-15,24.3,24.06,24.37,24,989.59K,-0.21%
21-Dec-15,24.35,24.29,24.42,23.97,1.47M,-0.37%
18-Dec-15,24.44,24.59,24.69,24.44,1.16M,-2.75%
17-Dec-15,25.13,25.32,25.49,25.12,981.86K,-0.44%
16-Dec-15,25.24,24.85,25.29,24.77,2.20M,3.02%
15-Dec-15,24.5,24.62,24.77,24.32,1.97M,-0.61%
14-Dec-15,24.65,24.48,24.77,24.27,1.91M,1.27%
11-Dec-15,24.34,24.5,24.58,24.24,1.31M,-1.18%
10-Dec-15,24.63,24.74,24.82,24.58,936.46K,1.11%
9-Dec-15,24.36,24.67,24.68,24.17,1.38M,-1.77%
8-Dec-15,24.8,24.88,24.97,24.67,1.28M,-1.98%
7-Dec-15,25.3,25.38,25.43,25.15,478.86K,-0.35%
4-Dec-15,25.39,25.11,25.41,25.07,1.43M,0.55%
3-Dec-15,25.25,25.63,25.74,25.18,1.75M,-0.59%
2-Dec-15,25.4,25.69,25.7,25.33,2.04M,-3.05%
1-Dec-15,26.2,26.2,26.36,26.15,603.14K,1.08%
30-Nov-15,25.92,25.95,26.04,25.83,883.24K,-2.15%
27-Nov-15,26.49,26.57,26.74,26.46,212.14K,-0.08%
