Date,Price,Open,High,Low,Vol.,Change %
29-Jan-16,29.51,29.1,29.51,28.51,18.98M,2.64%
28-Jan-16,28.75,30.59,30.63,28.6,15.59M,-3.17%
27-Jan-16,29.69,29.9,30.53,29.45,13.53M,-0.97%
26-Jan-16,29.98,29.76,30.19,29.62,11.43M,0.67%
25-Jan-16,29.78,29.96,30.39,29.66,23.18M,0.10%
22-Jan-16,29.75,29.97,30.52,29.31,16.30M,1.50%
21-Jan-16,29.31,28.75,29.8,28.19,16.28M,1.84%
20-Jan-16,28.78,28.98,29.11,27.44,20.46M,-3.23%
19-Jan-16,29.74,29.84,30,29.31,20.05M,2.06%
15-Jan-16,29.14,29.28,29.77,28.59,17.57M,-3.89%
14-Jan-16,30.32,29.69,30.57,28.71,15.03M,2.99%
13-Jan-16,29.44,30.89,31.17,29.32,16.69M,-4.07%
12-Jan-16,30.69,30.58,30.97,30.21,13.20M,1.72%
11-Jan-16,30.17,30.65,30.75,29.74,17.14M,-1.50%
8-Jan-16,30.63,30.51,31.54,30,26.32M,1.56%
7-Jan-16,30.16,30.97,31.19,30.02,21.21M,-6.22%
6-Jan-16,32.16,31.67,32.45,31.6,16.05M,-0.12%
5-Jan-16,32.2,31.55,32.33,31.53,14.30M,2.55%
4-Jan-16,31.4,32.12,32.35,31.14,25.19M,-5.59%
31-Dec-15,33.26,33.22,33.69,33.18,7.42M,-0.33%
30-Dec-15,33.37,33.85,34.04,33.35,5.93M,-1.97%
29-Dec-15,34.04,33.63,34.17,33.6,12.62M,1.31%
28-Dec-15,33.6,33.9,33.91,33.35,11.02M,-1.50%
24-Dec-15,34.11,34.19,34.74,34.1,3.47M,-0.99%
23-Dec-15,34.45,34.24,34.58,33.99,13.47M,0.76%
22-Dec-15,34.19,32.99,34.21,32.97,15.53M,3.70%
21-Dec-15,32.97,33.12,33.3,32.69,9.11M,0.06%
18-Dec-15,32.95,33.1,33.63,32.87,16.92M,-0.84%
17-Dec-15,33.23,33.81,34.08,33.11,13.24M,-1.63%
16-Dec-15,33.78,33.15,33.88,32.91,12.69M,2.27%
15-Dec-15,33.03,32.53,33.39,32.5,16.19M,1.35%
14-Dec-15,32.59,32.94,33.27,32.21,17.56M,-0.97%
11-Dec-15,32.91,34.01,34.15,32.82,14.94M,-4.97%
10-Dec-15,34.63,34.49,34.73,33.91,16.17M,0.67%
9-Dec-15,34.4,35.8,35.84,33.15,45.10M,-1.29%
8-Dec-15,34.85,34.24,34.98,34.03,19.85M,0.49%
7-Dec-15,34.68,34.76,34.92,34.47,12.05M,-0.66%
4-Dec-15,34.91,34.34,35.2,34.18,16.11M,1.66%
3-Dec-15,34.34,35.59,35.72,34.1,17.08M,-3.67%
2-Dec-15,35.65,35,36.39,34.77,56.71M,5.75%
1-Dec-15,33.71,33.87,33.89,33.47,11.02M,-0.30%
30-Nov-15,33.81,33.03,33.83,32.85,17.53M,2.64%
27-Nov-15,32.94,32.79,33.09,32.44,5.32M,-0.66%
25-Nov-15,33.16,32.77,33.52,32.75,13.26M,0.61%
24-Nov-15,32.96,33.09,33.19,32.61,13.36M,-1.20%
23-Nov-15,33.36,33,33.87,32.87,11.90M,0.76%
20-Nov-15,33.11,32.86,33.3,32.69,12.50M,1.50%
19-Nov-15,32.62,33.21,33.5,32.58,14.22M,-1.09%
18-Nov-15,32.98,32.89,33.02,32.32,11.11M,0.37%
17-Nov-15,32.86,33.01,33.12,32.62,10.27M,-0.27%
16-Nov-15,32.95,32.23,32.99,32.12,11.09M,2.36%
13-Nov-15,32.19,32.78,33.04,32.17,11.06M,-3.13%
12-Nov-15,33.23,33.2,33.84,33.13,14.27M,-0.45%
11-Nov-15,33.38,34.21,34.23,33.02,11.81M,-1.79%
10-Nov-15,33.99,33.45,34.13,33.26,11.51M,0.92%
9-Nov-15,33.68,34.07,34.08,33.08,13.65M,-1.52%
6-Nov-15,34.2,34.94,35.2,33.46,16.61M,-2.62%
5-Nov-15,35.12,35.02,35.3,34.16,15.68M,0.14%
4-Nov-15,35.07,34.89,35.24,34.75,17.50M,1.01%
3-Nov-15,34.72,35.15,35.34,34.65,12.39M,-1.56%
2-Nov-15,35.27,35.46,35.48,35.07,15.21M,-0.98%
30-Oct-15,35.62,35.14,35.7,35.05,17.42M,1.63%
29-Oct-15,35.05,34.87,35.15,34.7,10.80M,-0.40%
28-Oct-15,35.19,34.3,35.27,34.3,15.17M,2.59%
27-Oct-15,34.3,34.97,35.47,33.88,26.38M,2.69%
