Date,Price,Open,High,Low,Vol.,Change %
29-Jan-16,120.13,118.14,120.18,118.02,9.20M,1.80%
28-Jan-16,118.01,117.1,118.03,115.06,10.71M,1.23%
27-Jan-16,116.58,119.9,120.11,115.02,27.95M,-8.93%
26-Jan-16,128.01,124.98,128.15,124.5,5.43M,3.23%
25-Jan-16,124.01,124.6,125.24,123.4,4.55M,-0.48%
22-Jan-16,124.61,124.42,125.68,123.32,5.26M,0.98%
21-Jan-16,123.4,122.77,125.98,121.54,5.55M,1.03%
20-Jan-16,122.14,124,124.94,119.82,7.64M,-3.11%
19-Jan-16,126.06,127.06,127.22,125.11,5.48M,0.34%
15-Jan-16,125.63,125.8,127.14,124.51,6.68M,-2.76%
14-Jan-16,129.2,129.59,130.07,125.81,6.52M,0.84%
13-Jan-16,128.12,132.7,132.88,127.75,5.07M,-2.88%
12-Jan-16,131.92,131.58,132.17,129.64,4.17M,1.31%
11-Jan-16,130.21,130.85,131,128.92,5.55M,0.17%
8-Jan-16,129.99,133.7,135.1,129.8,5.78M,-2.27%
7-Jan-16,133.01,136.38,136.67,132.51,7.01M,-4.19%
6-Jan-16,138.83,138.83,139.35,137.26,4.25M,-1.59%
5-Jan-16,141.07,140.99,141.7,139.77,3.36M,0.41%
4-Jan-16,140.5,141.38,141.7,139.43,5.72M,-2.83%
31-Dec-15,144.59,145.96,145.96,144.5,2.11M,-1.24%
30-Dec-15,146.41,147.22,148,146.01,1.62M,-0.64%
29-Dec-15,147.35,145.06,147.56,145,3.13M,1.94%
28-Dec-15,144.54,143.26,144.67,142.84,1.98M,0.70%
24-Dec-15,143.53,143.6,143.93,143.36,1.18M,-0.37%
23-Dec-15,144.06,143.08,144.07,142.81,3.35M,1.18%
22-Dec-15,142.38,141.72,142.79,140.5,2.79M,1.05%
21-Dec-15,140.9,140.21,141.94,139.7,3.75M,0.95%
18-Dec-15,139.58,144.41,144.41,138.89,9.95M,-4.11%
17-Dec-15,145.56,148.85,149.8,145.5,3.45M,-1.72%
16-Dec-15,148.11,147.98,148.61,146.23,3.32M,1.08%
15-Dec-15,146.53,145.66,147.1,144.12,4.71M,2.47%
14-Dec-15,143,144.5,144.5,141.46,4.85M,-1.12%
11-Dec-15,144.62,145,145.7,143.72,3.68M,-1.22%
10-Dec-15,146.41,144.62,147.46,144.16,3.28M,1.50%
9-Dec-15,144.24,144.6,145.69,142.27,5.12M,-0.52%
8-Dec-15,144.99,146.82,147.23,144.65,5.02M,-2.33%
7-Dec-15,148.45,148.3,149.5,147.32,3.42M,-0.03%
4-Dec-15,148.5,146.35,148.78,146.09,3.89M,2.02%
3-Dec-15,145.56,147.05,147.63,144.28,3.01M,-0.95%
2-Dec-15,146.96,147.55,148.03,146.38,2.65M,-0.53%
1-Dec-15,147.74,146.54,149.4,146.47,3.44M,1.57%
30-Nov-15,145.45,146.97,147.26,145.36,3.18M,-1.02%
27-Nov-15,146.95,147.5,147.97,146.68,1.28M,-0.33%
25-Nov-15,147.43,149.04,149.15,147.38,1.85M,-0.82%
24-Nov-15,148.65,147.49,149.59,147.22,2.63M,0.21%
23-Nov-15,148.34,149.39,149.7,147.71,3.18M,-0.71%
20-Nov-15,149.4,149.84,150.59,149.12,3.21M,0.11%
19-Nov-15,149.24,148.79,149.48,148.26,2.49M,0.65%
18-Nov-15,148.28,146.24,148.38,146.23,3.10M,1.51%
17-Nov-15,146.08,145.29,146.59,144.64,3.04M,1.15%
16-Nov-15,144.42,142.58,144.5,142.33,2.38M,1.28%
13-Nov-15,142.59,142.33,143.89,141.86,3.06M,0.04%
12-Nov-15,142.54,143,144.4,141.59,3.80M,-1.69%
11-Nov-15,144.99,145.2,145.83,144.52,1.59M,-0.11%
10-Nov-15,145.15,145.28,146.14,144.03,2.52M,-0.57%
9-Nov-15,145.98,146.9,147.48,145.18,2.98M,-1.32%
6-Nov-15,147.94,146.58,148.17,146.01,2.29M,-0.02%
5-Nov-15,147.97,148.19,148.84,146.49,2.55M,-0.15%
4-Nov-15,148.19,147.26,148.76,147.18,2.77M,0.07%
3-Nov-15,148.09,148.03,148.46,147.14,2.47M,-0.21%
