Date,Price,Open,High,Low,Vol.,Change %
29-Jan-16,86.47,84.05,86.71,82.95,20.25M,0.64%
28-Jan-16,85.92,85.75,86.69,83.7,13.02M,3.16%
27-Jan-16,83.29,83.95,86.1,82.36,12.38M,-0.99%
26-Jan-16,84.12,81.97,84.5,81.35,12.19M,3.99%
25-Jan-16,80.89,82.29,84.29,80.8,12.37M,-3.17%
22-Jan-16,83.54,84.46,85.19,81.72,15.72M,3.07%
21-Jan-16,81.05,78.8,81.65,78.02,16.11M,2.62%
20-Jan-16,78.98,79.98,80.31,75.33,26.15M,-3.10%
19-Jan-16,81.51,84.17,84.75,80.79,13.16M,-2.58%
15-Jan-16,83.67,81.64,83.81,80.87,17.87M,-2.11%
14-Jan-16,85.47,81.95,86.17,80.95,16.43M,5.09%
13-Jan-16,81.33,83.16,84.25,80.01,15.55M,-1.00%
12-Jan-16,82.15,82.2,82.4,79.69,13.48M,1.71%
11-Jan-16,80.77,82.85,82.97,79.77,14.37M,-1.66%
8-Jan-16,82.13,83.39,83.84,81.22,11.89M,-1.07%
7-Jan-16,83.02,84.55,85.75,82.67,15.37M,-3.54%
6-Jan-16,86.07,87.44,87.78,85.16,14.51M,-3.95%
5-Jan-16,89.61,89.05,89.65,87.84,7.88M,0.86%
4-Jan-16,88.85,89.53,90.11,87.57,11.40M,-1.23%
31-Dec-15,89.96,89.38,90.86,89.02,6.99M,-0.14%
30-Dec-15,90.09,90.1,90.98,89.89,5.60M,-1.27%
29-Dec-15,91.25,91.89,92.58,91.07,6.47M,0.98%
28-Dec-15,90.36,90.31,90.72,89.69,6.80M,-1.84%
24-Dec-15,92.05,93.95,93.95,92.01,5.00M,-1.88%
23-Dec-15,93.81,92.2,93.85,91.57,11.17M,3.92%
22-Dec-15,90.27,89.12,90.79,88.3,9.66M,1.15%
21-Dec-15,89.24,90.4,90.7,88.21,12.85M,-0.63%
18-Dec-15,89.81,90.06,91.27,89.3,20.17M,-0.81%
17-Dec-15,90.54,93.5,94,90.4,14.08M,-3.10%
16-Dec-15,93.44,92.58,93.82,90.81,16.92M,0.73%
15-Dec-15,92.76,90.58,93.4,90.55,19.16M,3.84%
14-Dec-15,89.33,86.3,89.59,85.41,12.43M,3.34%
11-Dec-15,86.44,87.85,87.91,86.09,13.19M,-3.20%
10-Dec-15,89.3,88,90.46,87.61,14.53M,1.94%
9-Dec-15,87.6,86.67,90.14,86.3,14.68M,1.34%
8-Dec-15,86.44,85.81,88,84.25,13.40M,-0.96%
7-Dec-15,87.28,87.48,87.94,84.9,15.38M,-2.71%
4-Dec-15,89.71,87.9,89.82,86.49,13.17M,0.97%
3-Dec-15,88.85,90.81,91.42,88.36,11.00M,-1.55%
2-Dec-15,90.25,92.6,92.69,90.03,11.83M,-2.41%
1-Dec-15,92.48,90.97,92.65,90.97,6.98M,1.27%
30-Nov-15,91.32,90.64,91.96,90.44,12.18M,1.05%
27-Nov-15,90.37,90.25,90.84,90.05,2.55M,-0.55%
25-Nov-15,90.87,90.71,91.32,90.16,5.42M,-0.53%
24-Nov-15,91.35,90.19,92.3,89.8,8.55M,1.49%
23-Nov-15,90.01,88.65,90.44,88.11,6.89M,1.12%
20-Nov-15,89.01,90.64,91.31,88.81,8.56M,-2.00%
19-Nov-15,90.83,92.03,92.37,90.43,6.10M,-1.50%
18-Nov-15,92.21,91.44,92.75,91.03,6.89M,1.30%
17-Nov-15,91.03,91.27,92.5,90.7,7.58M,-0.46%
16-Nov-15,91.45,87.79,91.47,87.79,10.10M,3.12%
13-Nov-15,88.68,89.57,89.97,88.19,7.68M,-1.31%
12-Nov-15,89.86,90.75,91.15,89.25,8.95M,-2.53%
11-Nov-15,92.19,93.39,93.71,91.86,6.09M,-1.12%
10-Nov-15,93.23,92.1,93.5,91.84,6.82M,0.99%
9-Nov-15,92.32,93.48,94.45,92.1,7.66M,-1.82%
6-Nov-15,94.03,93.71,94.07,91.76,9.63M,-0.55%
5-Nov-15,94.55,96.05,96.55,94.33,11.18M,-2.29%
4-Nov-15,96.77,98.02,98.1,96.08,11.93M,-1.40%
3-Nov-15,98.14,95.42,98.64,95.42,17.67M,3.35%
2-Nov-15,94.96,90.61,95.28,90.48,14.28M,4.49%
30-Oct-15,90.88,91.14,91.98,89.41,11.56M,1.10%
29-Oct-15,89.89,89.32,90.93,89.14,6.69M,0.11%
28-Oct-15,89.79,88.21,90.12,87.92,8.24M,2.38%
27-Oct-15,87.7,87.73,87.96,86.74,9.33M,-1.21%
26-Oct-15,88.77,90.87,90.88,88.58,8.61M,-2.71%
23-Oct-15,91.24,90.75,91.93,90.09,8.13M,-0.41%
22-Oct-15,91.62,89.74,91.81,89.74,8.97M,2.56%
21-Oct-15,89.33,89.44,90.63,89.14,7.43M,-0.73%
20-Oct-15,89.99,89.5,90.49,89.39,8.22M,-0.04%
19-Oct-15,90.03,90.36,90.54,89.22,8.90M,-1.38%
16-Oct-15,91.29,91.55,91.66,90.02,7.82M,0.63%
15-Oct-15,90.72,89.65,90.87,88.44,8.96M,1.07%
14-Oct-15,89.76,88.23,89.97,87.71,9.73M,1.56%
13-Oct-15,88.38,87.8,88.94,87.29,8.01M,-0.41%
12-Oct-15,88.74,89.86,89.98,87.87,7.92M,-0.93%
9-Oct-15,89.57,90.2,90.4,88.67,10.01M,-0.38%
8-Oct-15,89.91,87.89,90.14,87.8,11.30M,2.03%
7-Oct-15,88.12,88.25,89.51,86.28,17.69M,1.30%
6-Oct-15,86.99,84.18,87.63,84.07,18.90M,3.52%
5-Oct-15,84.03,82.41,84.19,82.35,14.20M,3.04%
2-Oct-15,81.55,77.74,81.55,77.31,13.05M,4.10%
1-Oct-15,78.34,79.72,80.89,77.81,11.11M,-0.68%
30-Sep-15,78.88,77.15,79.02,77,14.11M,3.45%
29-Sep-15,76.25,76.04,76.66,75.28,8.80M,0.63%
28-Sep-15,75.77,76.66,76.93,75.75,10.57M,-2.48%
25-Sep-15,77.7,77.87,78.16,76.92,10.86M,1.05%
24-Sep-15,76.89,75.45,77.31,75.1,10.30M,1.01%
23-Sep-15,76.12,77.4,77.53,75.76,9.04M,-1.46%
22-Sep-15,77.25,76.84,77.69,76.49,9.69M,-1.08%
21-Sep-15,78.09,78.3,78.73,77.84,8.52M,0.45%
18-Sep-15,77.74,77.91,78.7,76.97,18.64M,-2.10%
17-Sep-15,79.41,79.12,80.47,78.6,12.32M,0.49%
16-Sep-15,79.02,77.82,79.21,77.77,12.59M,2.40%
15-Sep-15,77.17,76.43,77.69,76.21,11.68M,1.85%
14-Sep-15,75.77,75.52,76,74.96,10.24M,-0.03%
11-Sep-15,75.79,75.94,76.25,75.09,11.03M,0.17%
10-Sep-15,75.66,75.73,75.8,74.31,11.48M,0.99%
9-Sep-15,74.92,77.43,78.2,74.75,11.30M,-2.50%
8-Sep-15,76.84,77.53,77.56,76.24,9.32M,0.22%
4-Sep-15,76.67,77.3,77.63,76.45,11.21M,-2.03%
3-Sep-15,78.26,78.7,79.42,77.69,12.28M,0.26%
2-Sep-15,78.06,79.75,79.75,77.23,14.26M,-0.17%
1-Sep-15,78.19,78.76,79.39,77.52,17.95M,-3.46%
31-Aug-15,80.99,80.01,81.08,77.92,16.88M,0.70%
28-Aug-15,80.43,77.72,81.2,77.58,23.74M,3.59%
27-Aug-15,77.64,75,78.12,74.56,21.54M,6.23%
26-Aug-15,73.09,71.72,73.1,70.94,17.40M,4.38%
25-Aug-15,70.02,74.93,75.02,69.84,21.13M,-2.91%
24-Aug-15,72.12,70.55,75.38,69.58,24.19M,-4.80%
21-Aug-15,75.76,78.87,79.59,75.71,18.38M,-4.39%
20-Aug-15,79.24,80.66,81.29,79.24,11.86M,-2.06%
19-Aug-15,80.91,82.87,82.91,80.67,13.13M,-3.03%
18-Aug-15,83.44,83.08,83.77,82.82,9.09M,0.25%
17-Aug-15,83.23,84.46,84.51,83.11,12.60M,-3.21%
14-Aug-15,85.99,85.78,86.42,85.29,7.75M,0.16%
13-Aug-15,85.85,86.03,86.34,85.45,9.56M,-1.08%
12-Aug-15,86.79,85,87.11,84.92,11.38M,1.18%
11-Aug-15,85.78,84.38,85.98,83.6,9.80M,-0.13%
10-Aug-15,85.89,84.2,86.1,83.88,8.34M,2.56%
7-Aug-15,83.75,84.71,85.26,83.43,7.42M,-1.69%
6-Aug-15,85.19,83.56,85.58,82.89,9.81M,1.38%
5-Aug-15,84.03,85.44,86,83.87,11.25M,-1.38%
4-Aug-15,85.21,85.74,86.9,84.68,8.54M,-0.46%
3-Aug-15,85.6,87.28,87.33,85.32,14.14M,-3.25%
31-Jul-15,88.48,91.52,91.75,88.01,19.06M,-4.89%
30-Jul-15,93.03,93.45,93.81,92.75,6.44M,-0.24%
29-Jul-15,93.25,91.98,93.4,91.44,9.82M,0.92%
28-Jul-15,92.4,89.45,92.69,89.43,11.54M,3.66%
27-Jul-15,89.14,89.86,90.09,88.74,10.34M,-1.61%
24-Jul-15,90.6,92.78,92.78,90.35,11.16M,-2.52%
23-Jul-15,92.94,93.57,94.07,92.7,7.36M,-0.61%
22-Jul-15,93.51,93.51,94.33,93.29,9.33M,-0.42%
21-Jul-15,93.9,93,94.14,93,7.04M,1.03%
20-Jul-15,92.94,93.3,93.49,92.59,6.02M,-0.23%
17-Jul-15,93.15,94.23,94.39,92.9,8.21M,-1.41%
16-Jul-15,94.48,94.28,94.73,93.9,6.42M,0.25%
15-Jul-15,94.24,95.04,95.7,93.89,6.49M,-1.37%
14-Jul-15,95.55,94.4,95.79,94.39,5.22M,1.00%
13-Jul-15,94.6,94.31,94.89,94.15,5.04M,0.20%
10-Jul-15,94.41,94.53,94.95,94.07,5.63M,0.67%
9-Jul-15,93.78,94.9,95.21,93.76,7.91M,0.24%
8-Jul-15,93.56,94.59,95.09,93.26,7.72M,-1.79%
7-Jul-15,95.27,94.41,95.48,93.5,11.77M,0.53%
6-Jul-15,94.77,95.06,95.56,94.48,8.34M,-1.15%
2-Jul-15,95.87,96.36,96.67,95.72,6.42M,-0.23%
1-Jul-15,96.09,96.3,96.62,95.55,7.30M,-0.39%
30-Jun-15,96.47,97.45,97.66,96.22,9.93M,-0.23%
29-Jun-15,96.69,97.5,97.96,96.6,8.76M,-1.94%
26-Jun-15,98.6,98.24,98.69,97.81,10.02M,0.26%
25-Jun-15,98.34,99.45,99.66,98.29,6.06M,-0.94%
24-Jun-15,99.27,99.98,100.68,99.27,7.45M,-0.82%
23-Jun-15,100.09,99.96,100.43,99.54,5.70M,-0.20%
22-Jun-15,100.29,99.83,100.37,99.37,6.42M,0.82%
19-Jun-15,99.47,99.72,100.17,99.46,10.51M,-0.78%
18-Jun-15,100.25,100.26,100.9,100.15,7.17M,0.49%
17-Jun-15,99.76,100.83,101.17,99.52,8.23M,-0.28%
16-Jun-15,100.04,99.2,100.44,98.81,8.76M,0.76%
15-Jun-15,99.29,99.45,100.06,99.13,6.18M,-0.58%
12-Jun-15,99.87,100.52,100.69,99.63,6.48M,-1.24%
11-Jun-15,101.12,101.87,102.2,100.94,5.58M,-0.70%
10-Jun-15,101.83,102.52,102.58,101.52,7.59M,1.40%
9-Jun-15,100.42,100.7,101.25,100.22,7.16M,0.00%
8-Jun-15,100.42,101.29,101.39,99.95,8.21M,-1.15%
5-Jun-15,101.59,101.18,103.1,100.99,6.08M,0.20%
4-Jun-15,101.39,101.89,102.37,100.98,6.90M,-0.76%
3-Jun-15,102.17,102.4,103.38,102.12,5.18M,-0.40%
2-Jun-15,102.58,102.65,103.11,102.11,5.04M,-0.05%
1-Jun-15,102.63,103.47,103.75,102.49,5.41M,-0.36%
29-May-15,103,103.14,103.57,102.67,6.67M,-0.23%
28-May-15,103.24,102.96,103.42,102.38,5.10M,0.13%
27-May-15,103.11,103.2,103.78,102.73,5.86M,-0.17%
26-May-15,103.29,104.22,104.44,102.93,8.01M,-1.53%
22-May-15,104.89,105.09,105.55,104.86,4.72M,-0.57%
21-May-15,105.49,105.97,106.27,105.3,6.55M,0.23%
20-May-15,105.25,105.42,105.9,104.76,6.52M,0.22%
19-May-15,105.02,106.05,106.31,105,7.93M,-1.53%
18-May-15,106.65,107.5,107.51,106.58,6.39M,-1.28%
15-May-15,108.03,107.21,108.33,106.94,5.64M,-0.39%
14-May-15,108.45,108.02,109.3,108.02,9.75M,0.70%
