Date,Price,Open,High,Low,Vol.,Change %
29-Jan-16,54.9,53.42,55.31,53.42,17.77M,-1.70%
28-Jan-16,55.85,57.23,57.73,54.78,10.52M,-2.21%
27-Jan-16,57.11,58.36,58.93,56.45,9.08M,-1.97%
26-Jan-16,58.26,59.01,59.27,57.21,7.42M,-0.66%
25-Jan-16,58.65,59.03,59.81,58.18,9.68M,-0.31%
22-Jan-16,58.83,59.1,59.43,57.82,10.38M,0.81%
21-Jan-16,58.36,57.29,58.77,56.92,12.10M,2.12%
20-Jan-16,57.15,54.21,57.93,53.7,11.99M,3.93%
19-Jan-16,54.99,57.53,57.73,54.23,13.64M,-4.10%
15-Jan-16,57.34,53.01,57.41,53.01,27.01M,5.10%
14-Jan-16,54.56,51.32,56.83,50.71,16.70M,6.60%
13-Jan-16,51.18,54.55,54.62,50.98,10.43M,-6.67%
12-Jan-16,54.84,54.47,54.97,53.57,6.80M,1.78%
11-Jan-16,53.88,55.86,55.98,52.83,10.48M,-3.18%
8-Jan-16,55.65,57.55,57.81,55.48,7.99M,-2.73%
7-Jan-16,57.21,56.52,57.84,56.34,9.29M,-0.30%
6-Jan-16,57.38,56.37,57.56,56.18,8.95M,0.02%
5-Jan-16,57.37,57.99,58.25,56.815,7.18M,-0.42%
4-Jan-16,57.61,58.06,58.32,56.4,10.31M,-2.75%
31-Dec-15,59.24,59.5,59.93,59.2,6.10M,-0.94%
30-Dec-15,59.8,59.4,60.12,59.31,5.22M,0.59%
29-Dec-15,59.45,59.02,59.7,59.02,5.07M,1.19%
28-Dec-15,58.75,58.27,58.97,57.76,5.59M,0.50%
24-Dec-15,58.46,58.38,58.73,58,2.15M,-0.20%
23-Dec-15,58.58,57.88,58.61,57.61,6.63M,1.72%
22-Dec-15,57.59,56.54,57.985,56.42,8.39M,2.47%
21-Dec-15,56.2,56,56.26,55.7,4.57M,0.83%
18-Dec-15,55.74,55.9,56.1,55.36,13.81M,-1.14%
17-Dec-15,56.38,57.66,57.93,56.35,7.85M,-2.17%
16-Dec-15,57.63,56.67,57.69,56.2,6.28M,2.20%
15-Dec-15,56.39,56.15,57,55.91,6.99M,1.71%
