Date,Price,Open,High,Low,Vol.,Change %
29-Jan-16,32.22,31.65,32.24,31.55,5.12M,3.17%
28-Jan-16,31.23,32.04,32.05,30.97,5.11M,-1.08%
27-Jan-16,31.57,32.07,32.2,31.41,4.81M,-0.79%
26-Jan-16,31.82,31.72,31.99,31.32,4.08M,0.86%
25-Jan-16,31.55,31.87,31.97,31.53,3.36M,0.22%
22-Jan-16,31.48,31.61,31.69,31.31,6.37M,2.57%
21-Jan-16,30.69,30.69,30.88,30.2,5.12M,-0.26%
20-Jan-16,30.77,30.47,31.05,29.96,5.08M,-0.16%
19-Jan-16,30.82,31.06,31.07,30.56,4.36M,0.75%
15-Jan-16,30.59,30.38,30.77,30.25,5.12M,-3.84%
14-Jan-16,31.81,31.35,31.89,31.09,4.24M,1.14%
13-Jan-16,31.45,32.18,32.21,31.33,3.53M,-0.79%
12-Jan-16,31.7,31.57,31.8,31.33,2.96M,0.51%
11-Jan-16,31.54,31.81,31.83,31.17,4.11M,-0.72%
8-Jan-16,31.77,32.54,32.57,31.7,3.08M,-1.15%
7-Jan-16,32.14,32.41,32.69,32.05,7.04M,-3.60%
6-Jan-16,33.34,33.16,33.5,33.12,3.32M,-1.65%
5-Jan-16,33.9,33.36,33.94,33.34,2.93M,1.50%
4-Jan-16,33.4,33.5,33.51,33.05,3.42M,-1.62%
31-Dec-15,33.95,34.26,34.27,33.94,1.44M,-1.57%
30-Dec-15,34.49,34.44,34.74,34.36,3.24M,0.09%
29-Dec-15,34.46,34.32,34.55,34.29,1.83M,1.09%
28-Dec-15,34.09,33.92,34.14,33.87,1.49M,-0.12%
24-Dec-15,34.13,34.13,34.25,34.03,806.06K,0.50%
23-Dec-15,33.96,33.57,34.07,33.56,2.69M,2.20%
22-Dec-15,33.23,33.02,33.28,32.85,2.35M,0.88%
21-Dec-15,32.94,33.3,33.36,32.78,2.91M,0.43%
18-Dec-15,32.8,32.96,33.08,32.79,4.42M,-1.68%
17-Dec-15,33.36,33.41,33.62,33.23,3.00M,-1.27%
16-Dec-15,33.79,33.5,33.86,33.27,2.18M,1.59%
15-Dec-15,33.26,33.23,33.53,33.19,2.78M,0.79%
14-Dec-15,33,33,33.09,32.57,3.47M,-0.75%
11-Dec-15,33.25,33.35,34.25,33.07,4.46M,-0.66%
10-Dec-15,33.47,33.44,33.66,33.32,1.96M,0.03%
9-Dec-15,33.46,33.65,33.82,33.29,3.34M,-0.27%
8-Dec-15,33.55,33.58,33.7,33.35,3.49M,-1.29%
7-Dec-15,33.99,34.13,34.18,33.8,3.10M,0.21%
4-Dec-15,33.92,33.65,33.98,33.64,2.62M,1.04%
3-Dec-15,33.57,34.36,34.37,33.48,5.12M,-2.19%
2-Dec-15,34.32,34.74,34.83,34.24,4.10M,-1.29%
1-Dec-15,34.77,34.33,34.88,34.17,4.55M,2.11%
30-Nov-15,34.05,34.19,34.24,34,3.78M,0.00%
27-Nov-15,34.05,34.16,34.23,34.03,1.25M,-0.18%
25-Nov-15,34.11,33.94,34.26,33.91,3.92M,0.50%
24-Nov-15,33.94,33.6,34.01,33.55,4.76M,-0.06%
23-Nov-15,33.96,34.15,34.33,33.85,3.92M,-0.35%
20-Nov-15,34.08,34.26,34.35,34.06,4.74M,0.21%
19-Nov-15,34.01,34.05,34.1,33.79,6.94M,0.95%
