Date,Price,Open,High,Low,Vol.,Change %
29-Jan-16,83,84.28,85.3,82.33,37.03M,-5.18%
28-Jan-16,87.53,90,90.22,86.86,14.17M,-2.34%
27-Jan-16,89.63,91.84,92.1,89,12.52M,-2.80%
26-Jan-16,92.21,90.72,92.83,90.25,6.89M,1.77%
25-Jan-16,90.61,91.53,93.54,90.43,10.19M,-1.33%
22-Jan-16,91.83,90.4,92.07,89.71,9.16M,3.33%
21-Jan-16,88.87,90.37,90.6,88.71,12.16M,-1.86%
20-Jan-16,90.55,88,91.83,86.28,19.68M,0.72%
19-Jan-16,89.9,93.14,93.22,88.85,14.37M,-2.11%
15-Jan-16,91.84,90.37,92.78,89.68,18.11M,-1.27%
14-Jan-16,93.02,92.72,94.88,90.79,16.30M,0.52%
13-Jan-16,92.54,97.25,98.03,92.12,12.14M,-4.70%
12-Jan-16,97.1,96.9,98.49,95.21,9.83M,0.62%
11-Jan-16,96.5,97.22,97.22,94.29,12.32M,0.05%
8-Jan-16,96.45,96.9,97.99,96.41,11.98M,0.21%
7-Jan-16,96.25,98.06,99,96.03,12.94M,-4.04%
6-Jan-16,100.3,97.57,100.68,97.52,12.54M,1.05%
5-Jan-16,99.26,99.69,99.85,98.7,9.26M,1.28%
4-Jan-16,98.01,99.77,100,97.01,14.90M,-3.14%
31-Dec-15,101.19,102.36,102.42,101.17,6.25M,-0.95%
30-Dec-15,102.16,102.84,103.05,102.03,4.88M,-1.16%
29-Dec-15,103.36,102.25,103.55,101.57,7.65M,1.65%
28-Dec-15,101.68,103,103.31,101.5,5.27M,-1.83%
24-Dec-15,103.58,103.35,103.9,103.15,2.66M,0.43%
23-Dec-15,103.14,103.59,103.59,102.69,7.28M,0.27%
22-Dec-15,102.86,102.99,103.54,102.49,7.15M,0.22%
21-Dec-15,102.63,102.21,103.26,101.63,8.31M,1.01%
18-Dec-15,101.6,101.68,101.99,100.92,15.77M,-0.74%
17-Dec-15,102.36,104.25,104.79,102.33,7.61M,-0.95%
16-Dec-15,103.34,103.18,103.49,101.64,10.95M,1.34%
15-Dec-15,101.97,101.74,103,101.44,11.74M,1.47%
14-Dec-15,100.49,99.97,100.93,98.66,10.31M,0.46%
11-Dec-15,100.03,101.35,102.47,99.67,9.52M,-2.52%
10-Dec-15,102.62,102.45,103.06,101.56,7.65M,0.66%
9-Dec-15,101.95,103.25,104.33,101.5,7.53M,-1.53%
8-Dec-15,103.53,102.07,104.07,101.73,6.68M,0.60%
7-Dec-15,102.91,104.11,104.15,102.25,5.96M,-1.11%
4-Dec-15,104.07,101.44,104.16,101.25,8.74M,2.65%
3-Dec-15,101.38,104.32,104.59,100.5,13.77M,-2.93%
2-Dec-15,104.44,105,105.57,104.3,8.85M,-1.33%
1-Dec-15,105.85,106.35,107.38,104.65,10.66M,-0.10%
30-Nov-15,105.96,108.21,108.31,105.69,9.84M,-1.89%
27-Nov-15,108,108.14,108.63,107.61,2.75M,0.20%
25-Nov-15,107.78,106.57,108.07,106.31,5.72M,1.14%
24-Nov-15,106.57,105.75,106.8,105.5,6.55M,0.20%
23-Nov-15,106.36,106.7,107.65,105.93,5.48M,-0.17%
20-Nov-15,106.54,107.34,107.97,106.42,7.11M,0.03%
19-Nov-15,106.51,108,108.05,106.21,7.02M,-1.50%
18-Nov-15,108.13,104.49,108.22,104.45,8.25M,3.44%
