Date,Price,Open,High,Low,Vol.,Change %
29-Jan-16,40.7,39.95,40.71,39.83,4.14M,1.60%
28-Jan-16,40.06,39.95,40.3,39.37,5.34M,0.10%
27-Jan-16,40.02,40.46,40.55,39.77,3.61M,-0.55%
26-Jan-16,40.24,39.9,40.27,39.51,4.60M,2.89%
25-Jan-16,39.11,39.56,39.66,39.06,2.88M,-0.86%
22-Jan-16,39.45,39.21,39.52,39.16,3.10M,2.52%
21-Jan-16,38.48,38.23,38.75,37.85,3.97M,0.23%
20-Jan-16,38.39,38.36,38.65,37.42,4.86M,-0.83%
19-Jan-16,38.71,39.29,39.31,38.36,4.57M,0.97%
15-Jan-16,38.34,38.32,38.76,38.04,5.67M,-3.43%
14-Jan-16,39.7,39.03,39.84,38.83,3.92M,2.85%
13-Jan-16,38.6,39.49,39.64,38.56,3.52M,-0.72%
12-Jan-16,38.88,38.88,38.99,38.38,3.55M,0.41%
11-Jan-16,38.72,39.16,39.26,38.31,4.62M,-0.33%
8-Jan-16,38.85,39.53,39.69,38.81,5.26M,1.04%
7-Jan-16,38.45,38.69,38.99,38.37,4.64M,-3.05%
6-Jan-16,39.66,39.62,39.89,39.45,2.71M,-1.07%
5-Jan-16,40.09,39.68,40.17,39.66,3.14M,0.55%
4-Jan-16,39.87,39.67,39.88,39.28,4.05M,0.25%
31-Dec-15,39.77,40.21,40.3,39.76,2.05M,-1.68%
30-Dec-15,40.45,40.38,40.68,40.33,2.09M,-0.37%
29-Dec-15,40.6,40.44,40.74,40.41,2.17M,0.67%
28-Dec-15,40.33,40.17,40.46,40.16,2.11M,-0.02%
24-Dec-15,40.34,40.32,40.51,40.31,916.61K,-0.07%
23-Dec-15,40.37,39.82,40.47,39.82,3.63M,2.64%
22-Dec-15,39.33,39.17,39.39,39.03,4.01M,0.20%
21-Dec-15,39.25,39.72,39.74,38.99,2.84M,1.00%
18-Dec-15,38.86,39.2,39.28,38.86,3.02M,-1.02%
17-Dec-15,39.26,39.88,39.89,39.23,3.44M,-1.01%
16-Dec-15,39.66,39.39,39.71,39.01,3.23M,2.30%
15-Dec-15,38.77,38.71,39.02,38.7,3.22M,0.60%
14-Dec-15,38.54,38.69,38.71,38.09,3.86M,-0.52%
11-Dec-15,38.74,39.2,39.23,38.7,2.88M,-1.55%
10-Dec-15,39.35,39.46,39.54,39.22,2.94M,0.79%
9-Dec-15,39.04,39.45,39.68,38.91,3.07M,0.28%
8-Dec-15,38.93,38.81,39.13,38.71,3.08M,-1.24%
7-Dec-15,39.42,39.63,39.65,39.2,2.52M,-0.68%
4-Dec-15,39.69,39.51,39.73,39.23,3.16M,0.68%
3-Dec-15,39.42,40.22,40.26,39.27,3.04M,-2.26%
2-Dec-15,40.33,40.7,40.86,40.22,2.72M,0.00%
1-Dec-15,40.33,40.12,40.35,39.93,3.24M,1.00%
30-Nov-15,39.93,40.29,40.37,39.91,2.96M,-1.09%
27-Nov-15,40.37,40.44,40.57,40.35,1.56M,0.65%
25-Nov-15,40.11,40.25,40.3,40.04,2.93M,0.75%
24-Nov-15,39.81,39.46,39.86,39.43,3.90M,-0.05%
23-Nov-15,39.83,40.21,40.41,39.76,2.95M,-1.73%
20-Nov-15,40.53,40.88,41,40.51,2.65M,-0.17%
19-Nov-15,40.6,40.79,40.82,40.49,2.94M,0.47%
18-Nov-15,40.41,40.21,40.44,40.1,3.32M,0.90%
17-Nov-15,40.05,40.05,40.37,39.96,3.02M,1.01%
16-Nov-15,39.65,39.28,39.68,39.21,2.94M,0.89%
13-Nov-15,39.3,39.1,39.42,39.05,2.90M,-0.43%
