Date,Price,Open,High,Low,Vol.,Change %
29-Jan-16,104.44,102.89,104.75,102.63,15.61M,2.12%
28-Jan-16,102.27,102.5,103.04,101.85,12.79M,0.11%
27-Jan-16,102.16,100.49,103.38,100.49,19.33M,0.97%
26-Jan-16,101.18,97.26,101.34,97.14,17.27M,4.96%
25-Jan-16,96.4,96.72,97.69,96.04,9.35M,-0.36%
22-Jan-16,96.75,97.02,97.08,95.95,8.38M,0.84%
21-Jan-16,95.94,95.77,96.64,94.28,11.27M,0.20%
20-Jan-16,95.75,96.11,97.28,94.53,12.69M,-1.79%
19-Jan-16,97.5,97.93,98.41,96.9,12.46M,0.52%
15-Jan-16,97,96.37,98,96.25,12.66M,-1.91%
14-Jan-16,98.89,97.1,99.47,97,10.16M,1.93%
13-Jan-16,97.02,98.49,98.98,96.84,8.29M,-1.24%
12-Jan-16,98.24,97.99,98.63,97.24,6.75M,0.69%
11-Jan-16,97.57,98.24,98.63,96.08,8.15M,-0.60%
8-Jan-16,98.16,99.88,99.94,97.85,9.77M,-1.07%
7-Jan-16,99.22,99.31,100.09,98.88,9.43M,-1.17%
6-Jan-16,100.39,99.82,100.97,99.6,7.73M,-0.51%
5-Jan-16,100.9,100.58,101.44,100.57,6.47M,0.42%
4-Jan-16,100.48,101.71,101.81,99.45,12.72M,-2.18%
31-Dec-15,102.72,103.37,103.62,102.69,4.59M,-1.02%
30-Dec-15,103.78,104.11,104.34,103.53,3.85M,-0.24%
29-Dec-15,104.03,103.34,104.19,103.34,4.23M,0.78%
28-Dec-15,103.22,103.18,103.47,102.92,4.06M,-0.48%
24-Dec-15,103.72,103.12,103.91,103.01,2.55M,0.22%
23-Dec-15,103.49,103.11,103.67,102.74,5.53M,0.76%
22-Dec-15,102.71,101.91,102.88,101.15,5.58M,1.11%
21-Dec-15,101.58,102.34,102.92,100.85,8.32M,-0.36%
18-Dec-15,101.95,103.08,103.08,101.95,14.97M,-1.63%
17-Dec-15,103.64,105.16,105.26,103.63,8.74M,-1.53%
16-Dec-15,105.25,104.64,105.49,103.52,8.18M,1.08%
15-Dec-15,104.13,102.65,104.69,102.65,9.28M,1.94%
14-Dec-15,102.15,101.64,102.29,100.78,10.64M,0.46%
11-Dec-15,101.68,102.37,102.37,101.43,7.80M,-0.94%
10-Dec-15,102.64,102.3,103.34,101.8,6.48M,0.48%
9-Dec-15,102.15,102.14,103.34,101.67,7.95M,-0.26%
8-Dec-15,102.42,102.98,103.24,101.91,8.01M,-0.87%
7-Dec-15,103.32,102.61,103.49,102.6,7.26M,0.36%
4-Dec-15,102.95,101.4,103,101.28,7.85M,2.14%
3-Dec-15,100.79,102.27,102.37,100.31,12.01M,-1.23%
2-Dec-15,102.05,102.5,102.93,101.99,6.62M,-0.30%
1-Dec-15,102.36,101.73,102.49,101.12,7.55M,1.11%
30-Nov-15,101.24,102.48,102.48,101.24,8.98M,-1.10%
27-Nov-15,102.37,102.28,102.62,101.79,2.35M,0.40%
25-Nov-15,101.96,102.17,102.33,101.96,5.40M,-0.08%
24-Nov-15,102.04,101.81,102.79,101.81,7.49M,-0.71%
23-Nov-15,102.77,102.39,103,102.19,6.73M,0.28%
20-Nov-15,102.48,102.49,102.8,102.2,7.67M,-0.01%
19-Nov-15,102.49,102.66,102.68,102.06,5.16M,-0.18%
18-Nov-15,102.67,101.53,102.8,101.31,7.15M,1.15%
17-Nov-15,101.5,101.34,101.71,100.88,5.12M,0.28%
16-Nov-15,101.22,100.38,101.29,100.04,5.76M,1.34%
13-Nov-15,99.88,100.04,100.94,99.74,8.52M,-0.39%
12-Nov-15,100.27,101.14,101.61,100.22,6.92M,-1.56%
11-Nov-15,101.86,101.78,102.36,101.5,6.28M,0.40%
10-Nov-15,101.45,101,101.76,100.68,5.11M,0.60%
9-Nov-15,100.84,101.39,101.59,100.55,6.63M,-1.06%
6-Nov-15,101.92,101.57,101.92,100.86,6.22M,-0.40%
