Date,Price,Open,High,Low,Vol.,Change %
29-Jan-16,77.97,76.08,77.98,76.05,3.65M,1.87%
28-Jan-16,76.54,77.17,77.27,75.64,3.31M,-2.11%
27-Jan-16,78.19,79.69,79.83,77.6,4.52M,-5.38%
26-Jan-16,82.64,82.17,82.76,81.62,2.56M,1.25%
25-Jan-16,81.62,81.56,82.34,81.23,2.31M,-0.75%
22-Jan-16,82.24,81.54,82.42,81.41,2.24M,2.98%
21-Jan-16,79.86,80,80.2,79.27,2.64M,-0.78%
20-Jan-16,80.49,80.07,81.07,78.71,2.16M,-0.62%
19-Jan-16,80.99,81.63,81.73,80.3,2.63M,0.95%
15-Jan-16,80.23,80.11,81.12,79.59,2.20M,-2.99%
14-Jan-16,82.7,81.85,83.05,81.23,2.91M,1.99%
13-Jan-16,81.09,82.66,82.84,81.07,2.23M,-1.40%
12-Jan-16,82.24,82.38,82.64,81.31,1.59M,0.73%
11-Jan-16,81.64,82.03,82.07,80.63,3.54M,0.10%
8-Jan-16,81.56,83.38,83.5,81.38,2.10M,-2.84%
7-Jan-16,83.94,83.92,84.45,83.61,2.32M,-1.28%
6-Jan-16,85.03,84.54,85.26,84.54,2.74M,-1.37%
5-Jan-16,86.21,85.25,86.26,85.21,2.67M,0.54%
4-Jan-16,85.75,85.59,85.79,84.47,2.29M,-0.34%
31-Dec-15,86.04,86.43,86.84,86.02,1.04M,-1.70%
30-Dec-15,87.53,88.46,88.49,87.53,1.59M,-0.59%
29-Dec-15,88.05,87.87,88.16,87.7,1.83M,1.50%
28-Dec-15,86.75,87.26,87.26,86.53,1.72M,0.32%
24-Dec-15,86.47,86.29,86.86,86.29,877.41K,-0.20%
23-Dec-15,86.64,85.27,86.71,85.25,2.22M,2.11%
22-Dec-15,84.85,85.19,85.22,84.37,1.39M,0.20%
21-Dec-15,84.68,85.31,85.49,84.21,1.39M,-0.11%
18-Dec-15,84.77,85.32,85.81,84.73,2.21M,-0.62%
17-Dec-15,85.3,86.02,86.68,85.24,1.90M,-1.40%
16-Dec-15,86.51,86.4,86.65,85.43,1.94M,1.44%
15-Dec-15,85.28,84.77,85.67,84.76,1.65M,0.85%
14-Dec-15,84.56,84.68,84.98,83.76,2.00M,0.05%
11-Dec-15,84.52,85.06,85.58,84.36,2.61M,-0.68%
10-Dec-15,85.1,85.2,85.85,84.72,2.61M,1.36%
9-Dec-15,83.96,84.82,85,83.66,2.52M,-1.19%
8-Dec-15,84.97,85.08,85.45,84.5,2.90M,-0.71%
7-Dec-15,85.58,86.2,86.31,85.44,1.94M,-0.74%
4-Dec-15,86.22,85.18,86.33,85.06,2.46M,1.96%
3-Dec-15,84.56,86,86.1,84.28,3.21M,-0.54%
2-Dec-15,85.02,85.45,85.69,84.75,1.85M,-1.08%
1-Dec-15,85.95,86.12,86.15,85.28,1.52M,0.83%
30-Nov-15,85.24,85.75,86.01,85.19,1.71M,-0.70%
27-Nov-15,85.84,86.45,86.73,85.71,1.33M,-0.13%
25-Nov-15,85.95,86.72,86.73,85.95,1.86M,-0.52%
24-Nov-15,86.4,85.9,86.76,85.83,1.63M,-0.29%
23-Nov-15,86.65,87.31,87.59,86.57,1.56M,-1.92%
20-Nov-15,88.35,88.95,89.15,88.32,1.17M,-0.25%
19-Nov-15,88.57,89.01,89.13,88.44,1.28M,0.11%
18-Nov-15,88.47,88.2,88.61,87.58,3.49M,1.20%
17-Nov-15,87.42,87.45,88.39,87.35,2.21M,0.43%
16-Nov-15,87.05,86.61,87.13,86.53,1.37M,0.89%
13-Nov-15,86.28,85.84,86.71,85.78,1.61M,-0.67%
12-Nov-15,86.86,87.01,87.89,86.86,2.08M,-1.26%
11-Nov-15,87.97,88.85,88.97,87.86,1.78M,-0.43%
10-Nov-15,88.35,87.74,88.51,87.64,1.60M,-0.20%
9-Nov-15,88.53,88.65,89.02,88.24,1.16M,-1.23%
6-Nov-15,89.63,90.05,90.06,89.23,1.37M,-0.72%
5-Nov-15,90.28,90.97,90.97,89.94,1.24M,0.43%
4-Nov-15,89.89,90.72,90.8,89.53,2.58M,-0.35%
3-Nov-15,90.21,90.18,90.44,89.85,1.64M,-0.91%
2-Nov-15,91.04,90.68,91.15,90.59,965.79K,0.67%
30-Oct-15,90.43,90.99,91.5,90.43,1.16M,-0.58%
29-Oct-15,90.96,90.33,91.2,90.29,1.39M,-0.10%
28-Oct-15,91.05,91.81,91.88,89.96,2.40M,1.01%
27-Oct-15,90.14,90.09,91.07,89.92,2.69M,-2.34%
26-Oct-15,92.3,92.37,93,92.02,1.78M,-0.73%
23-Oct-15,92.98,92.42,93.58,92.33,2.61M,0.60%
22-Oct-15,92.43,91.09,92.68,90.77,1.95M,0.92%
21-Oct-15,91.59,92.21,92.34,90.71,1.60M,-0.80%
20-Oct-15,92.33,93.72,93.72,92.08,1.17M,-1.90%
19-Oct-15,94.12,94.55,94.63,93.68,1.20M,-0.96%
16-Oct-15,95.03,94.5,95.11,94.43,1.24M,1.25%
15-Oct-15,93.86,92.38,93.87,92.38,1.61M,1.91%
14-Oct-15,92.1,91.69,92.43,91.54,2.09M,1.19%
13-Oct-15,91.02,92.03,92.24,90.95,1.26M,-1.44%
12-Oct-15,92.35,91.63,92.57,91.63,1.10M,0.49%
9-Oct-15,91.9,92.31,92.56,91.44,1.70M,-0.77%
8-Oct-15,92.61,91.67,92.71,91.34,2.22M,1.10%
7-Oct-15,91.6,91.8,92.65,91.19,3.12M,-1.90%
6-Oct-15,93.37,94.24,94.48,92.71,2.25M,-0.88%
5-Oct-15,94.2,93.76,94.5,93.76,1.53M,1.00%
2-Oct-15,93.27,91.21,93.27,90.92,1.50M,1.49%
1-Oct-15,91.9,92.32,92.42,90.84,1.51M,-0.02%
30-Sep-15,91.92,91.96,92.06,91.21,1.78M,2.68%
29-Sep-15,89.52,89.14,90.34,88.89,2.00M,-0.35%
28-Sep-15,89.83,92.62,92.62,89.38,2.37M,-1.62%
25-Sep-15,91.31,93.9,94.02,90.85,2.79M,-0.53%
24-Sep-15,91.8,92.3,92.44,91.17,1.91M,-0.66%
23-Sep-15,92.41,92.84,93.08,92.23,2.71M,-0.45%
22-Sep-15,92.83,93.39,93.65,92.12,2.73M,-3.16%
21-Sep-15,95.86,97.45,97.63,95.46,1.66M,-0.82%
18-Sep-15,96.65,97.1,97.87,96.47,1.41M,-1.34%
17-Sep-15,97.96,97.04,98.95,97.04,1.10M,0.24%
16-Sep-15,97.73,97.05,97.92,96.79,1.71M,1.40%
15-Sep-15,96.38,95.8,96.5,95.58,1.06M,0.79%
14-Sep-15,95.62,95.72,95.86,95.11,1.06M,-0.96%
11-Sep-15,96.55,95.13,96.59,95.13,870.17K,0.29%
10-Sep-15,96.27,96.51,96.97,96.01,1.83M,0.48%
9-Sep-15,95.81,98.01,98.11,95.67,1.41M,-0.45%
8-Sep-15,96.24,95.98,96.43,95.3,1.36M,1.79%
4-Sep-15,94.55,94.57,95.01,93.81,2.27M,-0.85%
3-Sep-15,95.36,96.24,96.41,95.14,2.16M,-0.25%
