Date,Price,Open,High,Low,Vol.,Change %
29-Jan-16,30.49,30.38,30.49,29.92,56.73M,0.96%
28-Jan-16,30.2,30.7,30.71,29.59,48.79M,-1.05%
27-Jan-16,30.52,30.71,31.01,30.32,28.52M,-0.49%
26-Jan-16,30.67,30.53,30.75,30.34,25.96M,0.56%
25-Jan-16,30.5,30.83,30.91,30.42,28.76M,-0.68%
22-Jan-16,30.71,31,31.25,30.67,31.44M,0.43%
21-Jan-16,30.58,30.61,30.9,30.51,36.55M,-0.26%
20-Jan-16,30.66,30.21,31.07,30.06,49.47M,-0.10%
19-Jan-16,30.69,31.12,31.23,30.33,32.74M,-0.39%
15-Jan-16,30.81,30.22,30.82,30.2,46.77M,-0.96%
14-Jan-16,31.11,30.39,31.42,30.39,38.52M,2.44%
13-Jan-16,30.37,31.09,31.28,30.27,40.57M,-2.03%
12-Jan-16,31,31.38,31.5,30.72,38.83M,-0.23%
11-Jan-16,31.07,31.15,31.2,30.64,38.63M,0.23%
8-Jan-16,31,31.55,31.62,30.92,33.06M,-1.27%
7-Jan-16,31.4,31.16,31.81,31.14,37.21M,-0.66%
6-Jan-16,31.61,31.73,31.89,31.42,25.85M,-1.77%
5-Jan-16,32.18,32.18,32.24,31.93,27.30M,0.72%
4-Jan-16,31.95,31.85,32.03,31.57,37.31M,-1.02%
31-Dec-15,32.28,32.47,32.58,32.27,21.10M,-1.44%
30-Dec-15,32.75,32.74,32.89,32.65,16.34M,-0.24%
29-Dec-15,32.83,32.57,32.91,32.53,17.04M,1.26%
28-Dec-15,32.42,32.6,32.65,32.37,26.34M,-0.61%
24-Dec-15,32.62,32.5,32.72,32.5,7.93M,0.18%
23-Dec-15,32.56,32.58,32.74,32.53,20.97M,0.12%
22-Dec-15,32.52,32.62,32.62,32.36,25.50M,0.18%
21-Dec-15,32.46,32.17,32.46,32.01,30.62M,1.47%
18-Dec-15,31.99,32.25,32.45,31.95,66.62M,-1.05%
17-Dec-15,32.33,32.56,32.67,32.3,38.33M,-0.77%
16-Dec-15,32.58,32.43,32.67,31.99,44.43M,0.99%
15-Dec-15,32.26,32.62,32.82,32.16,47.34M,0.25%
14-Dec-15,32.18,31.99,32.21,31.84,38.29M,0.37%
11-Dec-15,32.06,32.11,32.23,31.97,40.28M,-0.93%
10-Dec-15,32.36,32.43,32.72,32.24,52.79M,0.22%
9-Dec-15,32.29,32.42,32.65,32.12,39.56M,-0.74%
8-Dec-15,32.53,32.35,32.74,32.29,25.73M,-0.40%
7-Dec-15,32.66,32.74,32.88,32.45,20.97M,-0.43%
4-Dec-15,32.8,32.49,32.89,32.41,31.61M,1.27%
3-Dec-15,32.39,32.92,33,32.36,47.35M,-1.55%
2-Dec-15,32.9,33.67,33.83,32.79,31.83M,-2.14%
1-Dec-15,33.62,33,33.73,32.8,49.30M,2.59%
30-Nov-15,32.77,32.91,32.91,32.53,42.91M,-0.06%
27-Nov-15,32.79,32.92,33,32.67,16.12M,-0.24%
25-Nov-15,32.87,32.36,33.24,32.2,79.38M,2.82%
24-Nov-15,31.97,31.38,32.15,31.21,84.03M,2.04%
23-Nov-15,31.33,31.42,31.69,30.99,124.65M,-2.64%
20-Nov-15,32.18,32.58,32.59,32.08,64.60M,-0.34%
19-Nov-15,32.29,32.79,32.97,31.95,90.71M,-3.06%
18-Nov-15,33.31,33.08,33.43,32.93,35.96M,1.34%
17-Nov-15,32.87,33.2,33.46,32.87,29.69M,-0.87%
16-Nov-15,33.16,33.29,33.41,32.85,25.64M,-0.33%
13-Nov-15,33.27,33.34,33.68,33.14,18.07M,-0.36%
12-Nov-15,33.39,33.61,33.7,33.35,18.00M,-1.04%
11-Nov-15,33.74,33.92,34.21,33.65,20.50M,-0.15%
10-Nov-15,33.79,33.83,33.97,33.61,20.97M,0.42%
9-Nov-15,33.65,33.79,33.86,33.38,27.02M,-0.83%
6-Nov-15,33.93,33.92,34.05,33.34,31.25M,-0.64%
5-Nov-15,34.15,34.23,34.29,33.99,20.49M,0.03%
4-Nov-15,34.14,34.92,34.97,34.09,30.88M,-2.37%
3-Nov-15,34.97,34.99,35.04,34.65,29.54M,-0.26%
2-Nov-15,35.06,34.17,35.25,34.15,39.50M,3.67%
30-Oct-15,33.82,34.77,34.9,33.73,57.13M,-2.73%
29-Oct-15,34.77,34.25,35.9,34.16,72.03M,-1.92%
28-Oct-15,35.45,35.23,36.07,35.02,34.86M,1.31%
27-Oct-15,34.99,35.01,35.45,34.65,40.08M,2.43%
26-Oct-15,34.16,34,34.37,33.83,23.29M,0.32%
23-Oct-15,34.05,33.46,34.35,33.23,27.53M,2.16%
22-Oct-15,33.33,33.58,33.64,32.89,41.37M,-0.39%
21-Oct-15,33.46,34.17,34.34,33.02,33.19M,-1.59%
20-Oct-15,34,34.65,34.69,33.76,17.49M,-1.45%
19-Oct-15,34.5,34.41,34.54,34.09,15.78M,0.26%
16-Oct-15,34.41,34.35,34.44,34,19.20M,0.97%
15-Oct-15,34.08,32.93,34.14,32.93,26.38M,3.15%
14-Oct-15,33.04,33.04,33.57,32.94,17.73M,0.18%
13-Oct-15,32.98,33.18,33.64,32.82,19.45M,-0.72%
12-Oct-15,33.22,33.23,33.44,32.9,14.84M,-0.06%
9-Oct-15,33.24,33.06,33.58,32.92,20.41M,0.45%
8-Oct-15,33.09,32.9,33.24,32.54,30.07M,-0.60%
7-Oct-15,33.29,33.1,33.48,32.35,29.64M,1.52%
6-Oct-15,32.79,33.4,33.6,32.42,36.59M,-2.06%
5-Oct-15,33.48,33.45,33.88,33,32.00M,1.21%
2-Oct-15,33.08,31.97,33.11,31.5,41.70M,3.89%
1-Oct-15,31.84,31.3,31.87,31.1,29.95M,1.37%
30-Sep-15,31.41,31.45,31.57,31.05,32.11M,1.26%
29-Sep-15,31.02,30.71,31.44,30.66,31.04M,0.65%
28-Sep-15,30.82,31.7,31.8,30.64,42.58M,-3.36%
25-Sep-15,31.89,32.96,33.1,31.65,34.52M,-2.48%
24-Sep-15,32.7,32.36,32.88,32.07,30.46M,0.25%
23-Sep-15,32.62,32.22,32.81,32.19,26.12M,1.12%
22-Sep-15,32.26,31.98,32.33,31.84,24.29M,-0.49%
21-Sep-15,32.42,33.1,33.33,32.24,23.71M,-1.31%
18-Sep-15,32.85,33.08,33.43,32.84,36.75M,-1.88%
17-Sep-15,33.48,33.17,33.96,33.13,25.33M,0.90%
16-Sep-15,33.18,32.98,33.28,32.7,21.41M,0.03%
15-Sep-15,33.17,32.95,33.34,32.81,20.92M,1.41%
14-Sep-15,32.71,32.94,33.04,32.58,15.59M,-0.79%
11-Sep-15,32.97,32.57,32.99,32.35,22.38M,1.07%
10-Sep-15,32.62,31.99,32.79,31.94,31.31M,2.07%
9-Sep-15,31.96,33,33.03,31.87,21.40M,-1.75%
8-Sep-15,32.53,31.83,32.57,31.83,25.97M,3.70%
4-Sep-15,31.37,31.45,31.72,31.13,22.56M,-1.63%
3-Sep-15,31.89,32.27,32.42,31.76,21.59M,-0.25%
2-Sep-15,31.97,31.93,31.97,31.38,31.42M,1.95%
1-Sep-15,31.36,31.46,31.87,31.19,39.14M,-2.67%
31-Aug-15,32.22,32.71,32.72,31.96,32.03M,-1.35%
28-Aug-15,32.66,33.3,33.36,32.5,33.49M,-1.80%
27-Aug-15,33.26,32.78,33.62,32.66,38.59M,2.56%
26-Aug-15,32.43,32.08,32.55,31.35,43.65M,3.48%
25-Aug-15,31.34,33.2,33.22,31.32,42.30M,-2.46%
24-Aug-15,32.13,31.97,33.25,28.47,52.26M,-4.20%
21-Aug-15,33.54,34.24,34.56,33.54,33.49M,-2.92%
20-Aug-15,34.55,34.92,35.14,34.55,18.76M,-2.04%
19-Aug-15,35.27,35.37,35.49,34.96,17.84M,-0.70%
18-Aug-15,35.52,35.39,35.6,35.28,13.34M,0.06%
17-Aug-15,35.5,35.11,35.53,35,13.88M,0.51%
14-Aug-15,35.32,35.37,35.5,35.04,18.07M,-0.11%
13-Aug-15,35.36,35.38,35.62,34.92,19.54M,-0.03%
12-Aug-15,35.37,34.87,35.47,34.71,27.98M,0.71%
11-Aug-15,35.12,35.21,35.24,34.94,19.23M,-0.68%
10-Aug-15,35.36,35.21,35.47,35.13,15.62M,0.48%
7-Aug-15,35.19,35.17,35.3,34.87,14.65M,0.06%
6-Aug-15,35.17,35.96,35.98,35.03,24.47M,-1.81%
5-Aug-15,35.82,36.07,36.17,35.78,24.25M,-0.80%
4-Aug-15,36.11,36.22,36.22,35.82,25.73M,-0.11%
3-Aug-15,36.15,36.29,36.3,35.9,17.10M,0.25%
31-Jul-15,36.06,35.91,36.46,35.87,29.00M,0.92%
30-Jul-15,35.73,35.68,36,35.39,21.50M,-0.08%
29-Jul-15,35.76,35.48,36.13,35.44,45.34M,1.16%
28-Jul-15,35.35,34.94,35.47,34.4,36.67M,2.94%
27-Jul-15,34.34,34.17,34.4,33.88,31.32M,0.23%
24-Jul-15,34.26,34.63,34.72,34.15,21.43M,-1.50%
23-Jul-15,34.78,34.99,35,34.62,12.72M,-0.29%
22-Jul-15,34.88,35.06,35.2,34.77,17.62M,-0.74%
21-Jul-15,35.14,35.24,35.34,34.88,17.66M,-0.28%
20-Jul-15,35.24,35.13,35.37,35.08,14.77M,0.48%
17-Jul-15,35.07,35.01,35.08,34.91,16.78M,-0.09%
16-Jul-15,35.1,35.14,35.2,35.03,15.31M,0.34%
15-Jul-15,34.98,35.02,35.12,34.91,19.47M,-0.29%
14-Jul-15,35.08,34.76,35.15,34.71,18.50M,0.75%
13-Jul-15,34.82,34.52,34.85,34.49,18.23M,1.34%
10-Jul-15,34.36,34.24,34.44,34.15,21.15M,1.48%
9-Jul-15,33.86,33.85,33.98,33.73,22.11M,1.23%
8-Jul-15,33.45,33.55,33.73,33.39,20.21M,-0.83%
7-Jul-15,33.73,33.34,33.84,33.15,25.85M,1.44%
6-Jul-15,33.25,33.3,33.64,33.08,20.99M,-0.36%
2-Jul-15,33.37,33.74,34.44,33.35,22.63M,-0.95%
1-Jul-15,33.69,33.56,33.86,33.41,28.22M,0.48%
30-Jun-15,33.53,33.79,33.79,33.33,35.02M,-0.18%
29-Jun-15,33.59,33.73,34.12,33.53,28.84M,-0.97%
26-Jun-15,33.92,34.17,34.29,33.87,35.67M,-0.29%
25-Jun-15,34.02,34.21,34.34,33.91,23.03M,-0.61%
24-Jun-15,34.23,34.34,34.52,34.23,23.08M,-0.78%
23-Jun-15,34.5,34.41,34.59,34.34,18.45M,0.55%
22-Jun-15,34.31,34.34,34.5,34.28,14.04M,0.38%
19-Jun-15,34.18,34.23,34.51,34.18,28.88M,-0.55%
18-Jun-15,34.37,34.08,34.51,34.05,24.51M,1.15%
17-Jun-15,33.98,34.05,34.18,33.85,20.99M,-0.18%
16-Jun-15,34.04,34.06,34.1,33.81,20.67M,0.00%
15-Jun-15,34.04,34.06,34.12,33.86,20.93M,-0.50%
12-Jun-15,34.21,34.3,34.46,34.1,21.69M,-0.73%
11-Jun-15,34.46,34.32,34.57,34.26,20.16M,0.44%
10-Jun-15,34.31,34.08,34.43,34.04,23.67M,0.88%
9-Jun-15,34.01,34.05,34.13,33.89,23.21M,0.09%
8-Jun-15,33.98,33.97,34.16,33.92,17.67M,-0.32%
5-Jun-15,34.09,34.19,34.28,33.93,23.07M,-0.44%
4-Jun-15,34.24,34.2,34.56,34.11,20.66M,-0.49%
3-Jun-15,34.41,34.55,34.66,34.28,17.20M,-0.23%
2-Jun-15,34.49,34.64,34.66,34.35,18.67M,-0.20%
1-Jun-15,34.56,34.77,34.92,34.53,27.55M,-0.55%
29-May-15,34.75,34.48,34.99,34.41,50.08M,0.90%
28-May-15,34.44,34.46,34.53,34.27,15.82M,0.41%
27-May-15,34.3,34.21,34.47,34.07,22.04M,0.56%
