Date,Price,Open,High,Low,Vol.,Change %
29-Jan-16,41.64,40.83,41.64,40.8,1.16M,1.83%
28-Jan-16,40.89,41.36,41.38,40.55,1.28M,-1.66%
27-Jan-16,41.58,42.05,42.1,41.19,2.74M,-0.41%
26-Jan-16,41.75,41.48,41.82,41.3,1.44M,1.61%
25-Jan-16,41.09,41.15,41.59,41.01,1.50M,-0.84%
22-Jan-16,41.44,41.26,41.47,41.06,1.27M,2.73%
21-Jan-16,40.34,40.33,40.6,39.88,1.70M,0.02%
20-Jan-16,40.33,39.89,40.6,39.35,2.31M,-0.10%
19-Jan-16,40.37,40.73,40.87,40.09,4.15M,4.56%
15-Jan-16,38.61,39.24,39.49,38.58,2.32M,-3.57%
14-Jan-16,40.04,39.64,40.3,39.48,1.81M,1.06%
13-Jan-16,39.62,40.68,40.74,39.47,2.06M,-2.15%
12-Jan-16,40.49,40.59,40.72,40.06,1.67M,1.23%
11-Jan-16,40,40.77,40.78,39.78,2.97M,-0.99%
8-Jan-16,40.4,41.32,41.4,40.31,2.44M,-2.11%
7-Jan-16,41.27,41.39,41.89,41.16,2.61M,-1.24%
6-Jan-16,41.79,41.38,41.89,41.35,3.47M,-1.09%
5-Jan-16,42.25,42.07,42.34,41.96,1.07M,0.12%
4-Jan-16,42.2,42.28,42.32,41.52,1.66M,-1.06%
31-Dec-15,42.65,42.85,43,42.63,940.71K,-1.75%
30-Dec-15,43.41,43.62,43.67,43.31,716.97K,-0.89%
29-Dec-15,43.8,43.61,43.92,43.53,1.56M,1.67%
28-Dec-15,43.08,43.16,43.26,42.94,1.01M,-0.16%
24-Dec-15,43.15,43.31,43.39,43.15,509.78K,-1.44%
23-Dec-15,43.78,43.25,43.78,43.23,1.53M,2.29%
22-Dec-15,42.8,42.65,42.9,42.43,1.08M,0.68%
21-Dec-15,42.51,43.24,43.28,42.4,1.54M,-0.30%
18-Dec-15,42.64,42.61,42.8,42.44,1.61M,-0.70%
17-Dec-15,42.94,43.35,43.36,42.75,1.11M,-1.58%
16-Dec-15,43.63,43.33,43.75,43,1.62M,1.61%
15-Dec-15,42.94,42.93,43.17,42.79,2.40M,3.44%
14-Dec-15,41.51,42.01,42.06,41.13,1.80M,-0.81%
11-Dec-15,41.85,42,42.11,41.7,1.60M,0.00%
10-Dec-15,41.85,41.95,42.28,41.8,1.32M,-0.92%
9-Dec-15,42.24,42.42,42.73,42,1.26M,-1.24%
8-Dec-15,42.77,42.73,42.96,42.57,1.26M,-1.36%
7-Dec-15,43.36,43.85,43.9,43.27,917.00K,0.02%
4-Dec-15,43.35,42.63,43.42,42.61,1.17M,0.53%
3-Dec-15,43.12,43.86,43.88,43.01,1.23M,-1.71%
2-Dec-15,43.87,44.22,44.39,43.66,1.34M,-0.41%
1-Dec-15,44.05,44.51,44.63,43.9,1.90M,-0.38%
30-Nov-15,44.22,44.65,44.76,44.18,1.81M,-0.20%
27-Nov-15,44.31,44.44,44.51,44.26,707.97K,0.14%
25-Nov-15,44.25,44.07,44.36,44.02,2.91M,1.54%
24-Nov-15,43.58,43.24,43.73,43.22,1.47M,-0.68%
23-Nov-15,43.88,44.01,44.31,43.7,1.18M,-0.70%
20-Nov-15,44.19,44.4,44.6,44.16,1.57M,0.09%
19-Nov-15,44.15,44.52,44.54,44.02,1.12M,-0.47%
18-Nov-15,44.36,44.04,44.39,43.83,2.03M,2.07%
17-Nov-15,43.46,43.69,44.03,43.46,2.29M,0.79%
16-Nov-15,43.12,43.09,43.23,42.79,4.80M,0.30%
13-Nov-15,42.99,43,43.33,42.86,3.93M,-1.49%
12-Nov-15,43.64,43.92,44.02,43.58,1.67M,-3.11%
11-Nov-15,45.04,45.46,45.46,44.8,3.62M,0.20%
10-Nov-15,44.95,45.03,45.14,44.73,1.07M,-1.08%
9-Nov-15,45.44,45.52,45.55,45.07,1.99M,-2.49%
6-Nov-15,46.6,47.38,47.4,46.25,5.32M,-7.58%
5-Nov-15,50.42,50.92,50.92,50.28,957.38K,0.56%
4-Nov-15,50.14,50.42,50.45,49.68,816.21K,-0.08%
3-Nov-15,50.18,50.5,50.5,50.02,1.14M,-0.99%
2-Nov-15,50.68,50.82,50.95,50.56,1.49M,0.68%
30-Oct-15,50.34,50.17,50.74,50.16,1.05M,1.43%
29-Oct-15,49.63,48.39,49.87,48.39,1.88M,-3.61%
28-Oct-15,51.49,51.56,51.88,50.94,814.20K,1.86%
27-Oct-15,50.55,50.34,50.8,50.34,928.43K,-0.30%
26-Oct-15,50.7,50.75,51.01,50.58,571.91K,-0.80%
23-Oct-15,51.11,50.76,51.25,50.68,670.48K,2.47%
22-Oct-15,49.88,49.82,50.05,49.47,1.10M,1.49%
21-Oct-15,49.15,49.63,49.69,48.7,3.41M,-0.28%
20-Oct-15,49.29,49.88,49.88,49.15,640.85K,-2.32%
19-Oct-15,50.46,50.41,50.56,49.98,712.74K,-0.16%
16-Oct-15,50.54,49.98,50.54,49.94,759.97K,0.52%
15-Oct-15,50.28,49.74,50.33,49.68,1.32M,3.69%
14-Oct-15,48.49,48.59,48.99,48.45,912.95K,-0.08%
