Date,Price,Open,High,Low,Vol.,Change %
29-Jan-16,5773,5702,5788,5534,3.41M,1.85%
28-Jan-16,5668,5691,5721,5643,1.89M,-0.47%
27-Jan-16,5695,5668,5714,5621,1.90M,1.70%
26-Jan-16,5600,5580,5630,5560,1.96M,-0.97%
25-Jan-16,5655,5618,5669,5568,1.90M,1.78%
22-Jan-16,5556,5460,5580,5383,3.27M,4.65%
21-Jan-16,5309,5400,5476,5309,3.42M,-1.21%
20-Jan-16,5374,5508,5547,5361,3.03M,-2.82%
19-Jan-16,5530,5542,5587,5477,2.00M,-0.27%
18-Jan-16,5545,5488,5560,5481,1.82M,-0.77%
15-Jan-16,5588,5647,5705,5545,2.20M,0.52%
14-Jan-16,5559,5609,5609,5471,2.98M,-2.08%
13-Jan-16,5677,5658,5707,5638,2.33M,0.92%
12-Jan-16,5625,5711,5773,5614,2.52M,-2.80%
8-Jan-16,5787,5782,5926,5721,3.30M,-1.13%
7-Jan-16,5853,5868,5946,5781,2.11M,-0.27%
6-Jan-16,5869,5913,5968,5805,1.63M,0.27%
5-Jan-16,5853,5871,5910,5827,1.76M,-1.08%
4-Jan-16,5917,6000,6039,5900,1.87M,-2.44%
30-Dec-15,6065,6071,6100,6032,1.56M,-0.46%
29-Dec-15,6093,5940,6098,5933,2.15M,2.77%
28-Dec-15,5929,5898,5943,5858,1.11M,0.58%
25-Dec-15,5895,5908,5947,5884,1.03M,0.60%
24-Dec-15,5860,6012,6047,5846,1.66M,-1.60%
22-Dec-15,5955,5957,5986,5943,1.30M,0.03%
21-Dec-15,5953,5928,5989,5866,2.40M,-0.47%
18-Dec-15,5981,5925,6158,5907,4.39M,0.96%
17-Dec-15,5924,5890,5939,5851,2.88M,2.33%
16-Dec-15,5789,5752,5808,5714,2.56M,2.53%
15-Dec-15,5646,5745,5777,5645,1.99M,-1.50%
14-Dec-15,5732,5680,5743,5672,2.10M,-1.66%
11-Dec-15,5829,5728,5854,5728,3.49M,1.39%
10-Dec-15,5749,5759,5779,5714,2.83M,-1.30%
9-Dec-15,5825,5900,5925,5818,2.56M,-1.80%
8-Dec-15,5932,6005,6042,5931,1.44M,-1.08%
7-Dec-15,5997,6000,6046,5978,1.35M,0.96%
4-Dec-15,5940,5978,5989,5925,1.99M,-2.17%
3-Dec-15,6072,6035,6084,6025,1.24M,0.68%
2-Dec-15,6031,6033,6086,6023,2.04M,-0.97%
1-Dec-15,6090,5982,6104,5963,2.28M,1.79%
30-Nov-15,5983,6105,6112,5982,4.63M,-3.09%
